一 1
丨 1
丶 1
丿 1
乀 1
乙 1
乚 1
乛 1
𠃊 1
𠃋 1
𠃌 1
𠃍 1
亅 1
𠄌 1
𡿨 1
㣺 1
丝 5 ⿱⿰⿱𠃋𠃋⿱𠃋𠃋一
𠀎 5 ⿱井一
𠀐 5 ⿱中一
𫠣 5 ⿻⿻𠃋一⿻𠃌八
𰀉 5 ⿻一中
𰀢 5 ⿲丨丨⿱𠂉丶
主 5 ⿱丶王
乍 5 ⿱𠂉⿰丨二
乎 5 ⿻𠂌丷
乏 5 ⿱㇒之
乐 5 ⿻⿱丿𠃋小
𠂔 5 ⿹⿻⿱丿㇉丨丿
㐌 5 ⿱𠂉也
仔 5 ⿰亻子
仕 5 ⿰亻士
他 5 ⿰亻也
仗 5 ⿰亻丈
付 5 ⿰亻寸
仙 5 ⿰亻山
仝 5 ⿱人工
仞 5 ⿰亻刃
仟 5 ⿰亻千
仡 5 ⿰亻乞
代 5 ⿰亻弋
令 5 ⿱亽龴
以 5 ⿲𠄌丶人
仨 5 ⿰亻三
仪 5 ⿰亻义
仫 5 ⿰亻么
们 5 ⿰亻门
㐱 5 ⿱𠆢彡
𫢉 5 ⿱𠆢干
兄 5 ⿱口儿
兰 5 ⿱丷三
冉 5 ⿻冂土
冊 5 ⿻冂卄
冋 5 ⿵冂口
册 5 ⿻⿰冂冂一
𠕁 5 ⿵冂卄
写 5 ⿱冖与
𰃮 5 ⿱𭕄冖
冬 5 ⿱夂⺀
冮 5 ⿰冫工
冯 5 ⿰冫马
凸 5 ⿵⿰⿳丨一丨㇎一
凹 5 ⿶凵⿰㇅⿱一丨
出 5 ⿱屮凵
击 5 ⿻二山
刊 5 ⿰干刂
刍 5 ⿱⺈𫜹
功 5 ⿰工力
加 5 ⿰力口
务 5 ⿱夂力
劢 5 ⿰万力
匃 5 ⿹勹亾
包 5 ⿹勹巳
匆 5 ⿻勿丶
北 5 ⿲⿱一㇀丨匕
匛 5 ⿷匚久
匜 5 ⿷匚也
匝 5 ⿷匚巾
卉 5 ⿱十廾
半 5 ⿻丷𰀁
卌 5 ⿻卄
卟 5 ⿰口卜
占 5 ⿱⺊口
卡 5 ⿱上卜
卢 5 ⿱⺊尸
卮 5 ⿸𠂋㔾
卯 5 ⿰𠂎卩
厈 5 ⿸厂干
厉 5 ⿸厂万
去 5 ⿱土厶
发 5 ⿺⿸⿻𠃋丿又丶
𠬢 5 ⿱屮又
𠬤 5 ⿱又𰀁
古 5 ⿱十口
句 5 ⿹勹口
另 5 ⿱口力
叨 5 ⿰口刀
叩 5 ⿰口卩
只 5 ⿱口八
叫 5 ⿰口丩
召 5 ⿱刀口
叭 5 ⿰口八
叮 5 ⿱口丁
可 5 ⿹丁口
台 5 ⿱厶口
叱 5 ⿰口𠤎
史 5 ⿻口乂
右 5 ⿸𠂇口
叵 5 ⿷匚口
叶 5 ⿰口十
号 5 ⿱口丂
司 5 ⿹𠃌𠮛
叹 5 ⿰口又
叻 5 ⿰口力
叼 5 ⿰口刁
叽 5 ⿰口几
㕣 5 ⿱八口
囙 5 ⿴囗コ
囚 5 ⿴囗人
四 5 ⿴囗⿰丿㇄
龱 5 ⿴囗乂
𠁤 5 ⿻儿囗
圢 5 ⿰土丁
圣 5 ⿱又土
圤 5 ⿰土卜
处 5 ⿺夂卜
外 5 ⿰夕卜
夗 5 ⿰夕㔾
央 5 ⿻冂大
夯 5 ⿱大力
夰 5 ⿱大⿰丿丨
失 5 ⿰丿夫
夲 5 ⿱大十
头 5 ⿻⺀大
𡗗 5 ⿸⿻三丿㇏
奴 5 ⿰女又
奶 5 ⿰女乃
孕 5 ⿱乃子
宁 5 ⿱宀丁
它 5 ⿱宀匕
宄 5 ⿱宀九
对 5 ⿰又寸
尔 5 ⿱⺈小
尕 5 ⿱乃小
龸 5 ⿱⺌冖
尻 5 ⿸尸九
尼 5 ⿸尸匕
左 5 ⿸𠂇工
巧 5 ⿰工丂
巨 5 ⿷匚コ
𢀖 5 ⿱ス工
㠯 5 ⿰丨⿱ココ
市 5 ⿱丶帀
布 5 ⿸𠂇巾
帅 5 ⿰リ巾
平 5 ⿻干丷
𢆉 5 ⿱丷干
幼 5 ⿰幺力
弁 5 ⿱厶廾
弗 5 ⿻⿰丿丨弓
弘 5 ⿰弓厶
𢎨 5 ⿻弔丿
归 5 ⿰リ𫜹
必 5 ⿻心丿
忉 5 ⿰忄刀
戉 5 ⿰𠄌戈
戊 5 ⿰丿戈
戋 5 ⿻戈一
扑 5 ⿰扌卜
扒 5 ⿰扌八
打 5 ⿰扌丁
扔 5 ⿰扌乃
斥 5 ⿸斤丶
旦 5 ⿱日一
旧 5 ⿰丨日
未 5 ⿻一木
末 5 ⿻一木
本 5 ⿻木一
札 5 ⿰木乚
朮 5 ⿺𣎳丶
术 5 ⿺木丶
正 5 ⿱一止
母 5 ⿻⿻𠃋𠃌⿻⺀一
氐 5 ⿱氏丶
民 5 ⿸⿰𠄌コ𫠠
氕 5 ⿹气丿
氺 5 ⿻亅⿱丷八
氶 5 ⿱乛水
永 5 ⿱丶⿲㇇𠃌⿺㇏丿
氾 5 ⿰氵㔾
氿 5 ⿰氵九
汀 5 ⿰氵丁
汁 5 ⿰氵十
汇 5 ⿰氵匚
汈 5 ⿰氵刁
汉 5 ⿰氵又
灭 5 ⿱一火
犯 5 ⿰犭㔾
犰 5 ⿰犭九
玄 5 ⿱亠幺
玉 5 ⿱一圡
瓜 5 ⿸𠂆⿰厶㇏
瓦 5 ⿵⿸⿱一𠄌㇈丶
甘 5 ⿻廿一
生 5 ⿻𠂉土
用 5 ⿵⺆𰀁
甩 5 ⿻月乚
田 5 ⿴囗十
由 5 ⿻日丨
甲 5 ⿻日丨
申 5 ⿻日丨
电 5 ⿻日乚
疋 5 ⿱乛龰
𤴓 5 ⿱一龰
𤴔 5 ⿱乛止
疒 5 ⿰冫广
癶 5 ⿰⿻㇇丶⿺⿺㇏丿丿
白 5 ⿱丿日
皮 5 ⿻⿱丨又⿰丿乛
皿 5 ⿴𠀃⿰丨丨
目 5 ⿴囗𠄠
矛 5 ⿹予丿
矢 5 ⿱𠂉大
石 5 ⿸丆口
示 5 ⿱二小
礼 5 ⿰礻乚
禸 5 ⿻冂厶
禾 5 ⿱丿木
穴 5 ⿱宀八
立 5 ⿱亠䒑
纠 5 ⿰纟丩
罒 5 ⿴囗⿰丨丨
𦉰 5 ⿵冂䒑
艽 5 ⿱艹九
艾 5 ⿱艹乂
衤 5 ⿸𪜊⿰丨𡿨
讦 5 ⿰讠干
讧 5 ⿰讠工
讨 5 ⿰讠寸
让 5 ⿰讠上
讪 5 ⿰讠山
讫 5 ⿰讠乞
训 5 ⿰讠川
议 5 ⿰讠义
讯 5 ⿰讠卂
记 5 ⿰讠己
讱 5 ⿰讠刃
𬣙 5 ⿰讠于
轧 5 ⿰车乚
边 5 ⿺辶力
辽 5 ⿺辶了
邓 5 ⿰又阝
钅 5 ⿱𠂉⿻二𠄌
闪 5 ⿵门人
阞 5 ⿰阝力
队 5 ⿰阝人
饥 5 ⿰饣几
驭 5 ⿰马又
鸟 5 ⿴乌丶
龙 5 ⿺𡯃丶
丞 6 ⿱氶一
丢 6 ⿱㇒去
𫠥 6 ⿺𠃊丙
乑 6 ⿸⿹亻𰀪⿺㇏丿
乒 6 ⿱丘丿
乓 6 ⿱丘丶
乔 6 ⿱夭⿰丿丨
㐆 6 ⿸𠂆⿱𫜹𠃌
𠂢 6 ⿸𠂆⿸⿱丿𠄌⿺㇏丿
𠂤 6 ⿱丿㠯
乩 6 ⿰占乚
买 6 ⿱乛头
争 6 ⿱⺈⿻⺕亅
亘 6 ⿱一旦
亚 6 ⿱一业
交 6 ⿱亠父
亥 6 ⿳亠𠂈人
亦 6 ⿱亠⿻小丿
产 6 ⿳亠丷厂
㐫 6 ⿱亠凶
𠅃 6 ⿱亠从
𰁜 6 ⿱亠⿲丿⿰丨丨丶
仰 6 ⿰亻卬
仲 6 ⿰亻中
仳 6 ⿰亻比
仵 6 ⿰亻午
件 6 ⿰亻牛
价 6 ⿰亻介
任 6 ⿰亻壬
份 6 ⿰亻分
仿 6 ⿰亻方
企 6 ⿱𠆢止
伈 6 ⿰亻心
伉 6 ⿰亻亢
伊 6 ⿰亻尹
伋 6 ⿰亻及
伍 6 ⿰亻五
伎 6 ⿰亻支
伏 6 ⿰亻犬
伐 6 ⿰亻戈
休 6 ⿰亻木
众 6 ⿱𠆢从
优 6 ⿰亻尤
伙 6 ⿰亻火
会 6 ⿱人云
伛 6 ⿰亻区
伞 6 ⿱人⿻丷十
伟 6 ⿰亻韦
传 6 ⿰亻专
伢 6 ⿰亻牙
伣 6 ⿰亻见
伤 6 ⿰亻⿱𠂉力
伥 6 ⿰亻长
伦 6 ⿰亻仑
伧 6 ⿰亻仓
伪 6 ⿰亻为
伫 6 ⿰亻㝉
𠇍 6 ⿱𠆢㣺
似 6 ⿰亻以
佤 6 ⿰亻瓦
充 6 ⿱𠫓儿
兆 6 ⿻儿⿱丷八
先 6 ⿱𠂒儿
光 6 ⿱⺌兀
兊 6 ⿱公儿
全 6 ⿱人王
共 6 ⿱龷八
关 6 ⿱丷天
兴 6 ⿳𭕄一八
龹 6 ⿱丷夫
再 6 ⿱一冉
军 6 ⿱冖车
农 6 ⿻冖𧘇
冰 6 ⿰冫水
冱 6 ⿰冫互
冲 6 ⿰冫中
决 6 ⿰冫夬
凫 6 ⿹㇯鸟一几
𫥞 6 ⿵𠘨帀
凼 6 ⿶凵水
刎 6 ⿰勿刂
刑 6 ⿰开刂
划 6 ⿰戈刂
刖 6 ⿰月刂
列 6 ⿰歹刂
刘 6 ⿰文刂
则 6 ⿰贝刂
刚 6 ⿰冈刂
创 6 ⿰仓刂
㓞 6 ⿰丰刀
劣 6 ⿱少力
劦 6 ⿱力𠠴
动 6 ⿰云力
匈 6 ⿹勹凶
匠 6 ⿷匚斤
匡 6 ⿷匚王
华 6 ⿱化十
协 6 ⿰十办
印 6 ⿰𠀉卩
危 6 ⿸厃㔾
压 6 ⿸厂圡
厌 6 ⿸厂犬
厍 6 ⿸厂车
厽 6 ⿱厶厸
厾 6 ⿹⺄去
𠫤 6 ⿱㐅厷
叒 6 ⿱又双
吁 6 ⿰口于
吂 6 ⿱亡口
吃 6 ⿰口乞
各 6 ⿱夂口
吅 6 ⿰口口
吆 6 ⿰口幺
合 6 ⿱亼口
吉 6 ⿱士口
吊 6 ⿱口巾
同 6 ⿵冂𠮛
名 6 ⿱夕口
后 6 ⿸𠂋口
吏 6 ⿻一史
吐 6 ⿰口土
向 6 ⿱丿冋
吒 6 ⿰口乇
吓 6 ⿰口下
吕 6 ⿱口口
吖 6 ⿰口丫
吗 6 ⿰口马
𠮷 6 ⿱土口
吸 6 ⿰口及
回 6 ⿴囗口
囟 6 ⿱丿龱
因 6 ⿴囗大
囡 6 ⿴囗女
团 6 ⿴囗才
在 6 ⿸𠂇⿰丨土
圩 6 ⿰土于
圪 6 ⿰土乞
圫 6 ⿰土乇
圬 6 ⿰土亏
圭 6 ⿱土土
圮 6 ⿰土己
圯 6 ⿰土巳
地 6 ⿰土也
圲 6 ⿰土千
圳 6 ⿰土川
圹 6 ⿰土广
场 6 ⿰土𠃓
壮 6 ⿰丬士
夅 6 ⿱夂㐄
夙 6 ⿵几歹
多 6 ⿱夕夕
夷 6 ⿻大弓
夸 6 ⿱大亏
夹 6 ⿻大䒑
夺 6 ⿱大寸
夼 6 ⿱大川
𡗞 6 ⿱幺大
奸 6 ⿰女干
她 6 ⿰女也
好 6 ⿰女子
妁 6 ⿰女勺
如 6 ⿰女口
妃 6 ⿰女己
妄 6 ⿱亡女
妆 6 ⿰丬女
妇 6 ⿰女𫜹
妈 6 ⿰女马
孖 6 ⿰子子
字 6 ⿱宀子
存 6 ⿸𠂇⿰丨子
孙 6 ⿰子小
宅 6 ⿱宀乇
宇 6 ⿱宀于
守 6 ⿱宀寸
安 6 ⿱宀女
寺 6 ⿱土寸
寻 6 ⿱𫜹寸
导 6 ⿱巳寸
𪧷 6 ⿱夕寸
尖 6 ⿱⿻丨八大
尗 6 ⿱上小
尘 6 ⿱小土
尥 6 ⿺尢勺
尧 6 ⿱𭠍兀
尽 6 ⿱尺⺀
𡰪 6 ⿸尸口
𡰯 6 ⿸尸巾
屰 6 ⿱䒑屮
屹 6 ⿰山乞
屺 6 ⿰山己
屼 6 ⿰山兀
屾 6 ⿰山山
屿 6 ⿰山与
岁 6 ⿱山夕
岂 6 ⿱山己
州 6 ⿻⿲丿丶丶川
巟 6 ⿱亡𫶧
𡿪 6 ⿱巛夕
巩 6 ⿰工凡
𢀛 6 ⿱工口
帆 6 ⿰巾凡
师 6 ⿰刂帀
年 6 ⿱𠂉㐄
并 6 ⿱丷开
𢆶 6 ⿰幺幺
庄 6 ⿸广土
庆 6 ⿸广大
㡯 6 ⿸广乇
廷 6 ⿺廴𡈼
异 6 ⿱巳廾
式 6 ⿹弋工
弚 6 ⿱丷弔
弛 6 ⿰弓也
当 6 ⿱⺌𫜹
忏 6 ⿰忄千
忖 6 ⿰忄寸
忙 6 ⿰忄亡
𢗀 6 ⿱口心
戌 6 ⿵戊一
戍 6 ⿵戊丶
戎 6 ⿹戈𠂇
戏 6 ⿰又戈
成 6 ⿵戊𠃌
𢦏 6 ⿽戈十
托 6 ⿰扌乇
扛 6 ⿰扌工
扞 6 ⿰扌干
扣 6 ⿰扌口
扦 6 ⿰扌千
执 6 ⿰扌丸
扩 6 ⿰扌广
扪 6 ⿰扌门
扫 6 ⿰扌𫜹
扬 6 ⿰扌𠃓
收 6 ⿰丩攵
𭤨 6 ⿰方𠂉
旨 6 ⿱匕日
早 6 ⿱日十
旬 6 ⿹勹日
旭 6 ⿺九日
旮 6 ⿱九日
旯 6 ⿱日九
𭥍 6 ⿱𠂉日
曲 6 ⿻曰⿰丨丨
曳 6
有 6 ⿸𠂇月
朱 6 ⿰丿未
朳 6 ⿰木八
朴 6 ⿰木卜
朵 6 ⿱𠘧木
朸 6 ⿰木力
机 6 ⿰木几
朽 6 ⿰木丂
朿 6 ⿻木冂
杀 6 ⿱㐅朩
杂 6 ⿱九朩
权 6 ⿰木又
次 6 ⿰冫欠
欢 6 ⿰又欠
此 6 ⿰止匕
死 6 ⿸歹匕
毕 6 ⿱比十
氖 6 ⿹气乃
氘 6 ⿹气⿰丿丨
汆 6 ⿱入水
汊 6 ⿰氵叉
汋 6 ⿰氵勺
汐 6 ⿰氵夕
汒 6 ⿰氵亡
汔 6 ⿰氵乞
汕 6 ⿰氵山
汗 6 ⿰氵干
汛 6 ⿰氵卂
汜 6 ⿰氵巳
汝 6 ⿰氵女
江 6 ⿰氵工
池 6 ⿰氵也
污 6 ⿰氵亏
汤 6 ⿰氵𠃓
𬇕 6 ⿰氵万
灯 6 ⿰火丁
灰 6 ⿸𠂇火
爷 6 ⿱父𰆊
牝 6 ⿰牛匕
牟 6 ⿱厶牛
犴 6 ⿰犭干
犷 6 ⿰犭广
犸 6 ⿰犭马
玎 6 ⿰𤣩丁
玑 6 ⿰𤣩几
甪 6 ⿱丿用
甶 6 ⿱丿田
百 6 ⿱一白
癿 6 ⿰白乚
穵 6 ⿱穴乙
竹 6 ⿰亇亇
⺮ 6 ⿰⿱𠂉丶⿱𠂉丶
𥫗 6 ⿰⿱𠂉丶⿱𠂉丶
米 6 ⿻丷木
糸 6 ⿱幺小
纡 6 ⿰纟于
红 6 ⿰纟工
纣 6 ⿰纟寸
纤 6 ⿰纟千
纥 6 ⿰纟乞
约 6 ⿰纟勺
级 6 ⿰纟及
纨 6 ⿰纟丸
纩 6 ⿰纟广
纪 6 ⿰纟己
纫 6 ⿰纟刃
𬘓 6 ⿰纟川
缶 6 ⿱午凵
𦈢 6 ⿻⿸午一𠃊
网 6 ⿵冂⿰㐅㐅
羊 6 ⿱䒑𰀁
𦍌 6 ⿱䒑土
羽 6 ⿰习习
老 6 ⿱耂匕
考 6 ⿱耂丂
而 6 ⿱一𦓐
𦓐 6 ⿱丿𦉫
耒 6 ⿻一未
耳 6
聿 6 ⿻肀二
肉 6 ⿵内人
肋 6 ⿰⺼力
肌 6 ⿰⺼几
肎 6 ⿱冖⺝
䏌 6 ⿱八月
䏍 6 ⿱厶月
臣 6 ⿺𠃊⿳丅𠃍丅
𦣞 6 ⿷匚⿳丨口丨
自 6 ⿱丿目
至 6 ⿱𠫔土
