的 de5  ⿰白勺 0
进 jin4 尽近浕烬缙禁琎噤瑨浸 ⿺辶井 179
行 xing2 硎形𫰛荥钘型饧铏陉刑 ⿰彳亍 180
直 zhi2 埴摭侄絷植值执跖职踯 ⿱十⿴𠀃三 181
公 gong1 龚功躬工恭供攻䢼弓觥 ⿱八厶 182
司 si1 鸶凘咝虒撕飔楒澌蛳㟃 ⿹𠃌𠮛 183
见 jian4 毽践健槛键荐涧僭建舰 ⿻冂儿 184
张 zhang1 漳璋章獐樟暲蟑彰嫜鄣 ⿰弓长 185
且 qie3  ⿱⺝一 186
便 bian4 辫昪变辨汴𨚕忭遍抃卞 ⿰亻更 187
需 xu1 魆虚媭谞𦈡旴欻嘘须𬣙 ⿱⻗而 188
朋 peng2 蟛澎鹏硼篷彭芃淜蓬棚 ⿰月月 189
友 you3 槱黝酉莠铕牖羑有卣 ⿸𠂇又 190
及 ji2 即辑籍楫疾嫉集蒺瘠吉 ⿻⿹𠄎丿乀 191
万 wan4 𬇕腕 ⿸丆𠃌 192
分 fen1 纷氛芬棻吩酚翂 ⿱八刀 193
车 che1 砗 ⿻⿻一𠃋十 194
展 zhan3 斩盏搌崭飐辗 ⿸尸⿱龷⿰𠄌⿺乀丿 195
手 shou3 守艏首 ⿻𠂌一 196
告 gao4 诰郜锆筶 ⿱𠂒口 197
诉 su4 蔌涑蹜鹔溯速僳宿夙素 ⿰讠斥 198
认 ren4 仞纫妊纴刃饪讱衽韧轫 ⿰讠人 199
书 shu1 抒鄃舒倏毹输叔殳摅陎 ⿺⿻⿱乛𠃌丨丶 200
电 dian4 奠钿簟玷阽甸癜惦琔垫 ⿻日乚 201
校 xiao4 哮孝敩涍肖笑啸效滧 ⿰木交 202
老 lao3 铑佬姥荖栳 ⿱耂匕 203
师 shi1 诗浉鸤虱鲺䴓尸蓍湿狮 ⿰刂帀 204
习 xi2 鳛觋隰嶍𠅤𫘬檄媳袭席 ⿹𠃌冫 205
虽 sui1 荽睢濉眭 ⿱口虫 206
拿 na2 镎 ⿱合手 207
情 qing2 晴氰擎檠黥勍 ⿰忄青 208
况 kuang4 贶框邝旷眶圹矿纩 ⿰冫兄 209
站 zhan4 蘸栈湛占偡绽战 ⿰立占 210
社 she4 歙摄厍慑赦涉麝设射滠 ⿰礻土 211
