街 jie1 16
佛 fo2 16
纳 na4 16
录 lu4 16
益 yi4 16
维 wei2 16
购 gou4 16
泪 lei4 16
施 shi1 16
隔 ge2 16
秋 qiu1 16
宽 kuan1 16
羊 yang2 16
操 cao1 16
讯 xun4 16
祖 zu3 16
劲 jin4 16
弹 dan4 16
智 zhi4 16
监 jian1 16
蛋 dan4 16
零 ling2 16
订 ding4 16
季 ji4 16
酸 suan1 16
妙 miao4 16
诚 cheng2 16
侧 ce4 16
壁 bi4 16
庄 zhuang1 16
倾 qing1 16
额 e2 16
好 hao4 15
得 de5 15
当 dang4 15
诉 su4 15
站 zhan4 15
阿 a1 15
各 ge4 15
突 tu1 15
响 xiang3 15
识 shi2 15
坛 tan2 15
察 cha2 15
差 cha1 15
确 que4 15
状 zhuang4 15
休 xiu1 15
显 xian3 15
众 zhong4 15
构 gou4 15
宣 xuan1 15
掌 zhang3 15
触 chu4 15
摆 bai3 15
偷 tou1 15
互 hu4 15
序 xu4 15
雄 xiong2 15
顾 gu4 15
鼓 gu3 15
宫 gong1 15
付 fu4 15
柔 rou2 15
鼻 bi2 15
猛 meng3 15
尾 wei3 15
纯 chun2 15
灭 mie4 15
伴 ban4 15
幽 you1 15
泥 ni2 15
途 tu2 15
违 wei2 15
阻 zu3 15
辞 ci2 15
刊 kan1 15
凶 xiong1 15
毁 hui3 15
灾 zai1 15
延 yan2 15
裂 lie4 15
岸 an4 15
上 shang5 14
让 rang4 14
候 hou4 14
分 fen4 14
际 ji4 14
钟 zhong1 14
八 ba1 14
阅 yue4 14
忙 mang2 14
谢 xie4 14
幸 xing4 14
朝 chao2 14
讨 tao3 14
占 zhan4 14
材 cai2 14
欲 yu4 14
席 xi2 14
腿 tui3 14
桥 qiao2 14
亡 wang2 14
鞋 xie2 14
抢 qiang3 14
签 qian1 14
暖 nuan3 14
尊 zun1 14
默 mo4 14
佳 jia1 14
码 ma3 14
魔 mo2 14
判 pan4 14
辈 bei4 14
混 hun4 14
损 sun3 14
巧 qiao3 14
骗 pian4 14
协 xie2 14
峰 feng1 14
摩 mo2 14
幻 huan4 14
冒 mao4 14
胡 hu2 14
箱 xiang1 14
抗 kang4 14
碎 sui4 14
奔 ben1 14
贫 pin2 14
鲜 xian1 14
惨 can3 14
哀 ai1 14
剪 jian3 14
赞 zan4 14
洁 jie2 14
纵 zong4 14
猎 lie4 14
了 liao3 13
把 ba3 13
最 zui4 13
只 zhi3 13
买 mai3 13
况 kuang4 13
则 ze2 13
