輝 辉
鋸 锯
驢 驴
癲 癫
嘆 叹
鳳 凤
鏟 铲
纖 纤
紛 纷
顫 颤
轎 轿
薑 姜
磚 砖
駁 驳
遷 迁
鉛 铅
糞 粪
劉 刘
禿 秃
駐 驻
聾 聋
錦 锦
綿 绵
賂 赂
輻 辐
鴉 鸦
闊 阔
皺 皱
諧 谐
銳 锐
峽 峡
撈 捞
銅 铜
駝 驼
廈 厦
煥 焕
銜 衔
絨 绒
謙 谦
屜 屉
懇 恳
蠅 蝇
毆 殴
韻 韵
鈍 钝
蔥 葱
絞 绞
餌 饵
貿 贸
壺 壶
繃 绷
簾 帘
擱 搁
窺 窥
湧 涌
摯 挚
鱷 鳄
壇 坛
竅 窍
鯨 鲸
敘 叙
軀 躯
澆 浇
疊 叠
絆 绊
鄧 邓
魷 鱿
釀 酿
嘮 唠
閔 闵
憫 悯
閭 闾
櫚 榈
櫻 樱
唄 呗
漁 渔
啞 哑
馳 驰
褻 亵
綽 绰
馴 驯
楊 杨
銘 铭
繹 绎
脹 胀
軸 轴
嬸 婶
糧 粮
濺 溅
莖 茎
豎 竖
縛 缚
撓 挠
癱 瘫
飆 飙
廟 庙
頗 颇
羨 羡
贓 赃
貳 贰
膩 腻
瀆 渎
隕 陨
轄 辖
滲 渗
靚 靓
螞 蚂
顱 颅
繳 缴
鄭 郑
誒 诶
愷 恺
嬌 娇
碩 硕
濾 滤
纜 缆
嶄 崭
柵 栅
踐 践
蝕 蚀
訣 诀
摻 掺
鑿 凿
颶 飓
擲 掷
饋 馈
鉗 钳
譯 译
譴 谴
頌 颂
瘓 痪
駱 骆
瑣 琐
癇 痫
狹 狭
燉 炖
飪 饪
淪 沦
燦 灿
譚 谭
銹 锈
緬 缅
擰 拧
轍 辙
憊 惫
嘰 叽
幟 帜
氫 氢
揀 拣
繆 缪
噸 吨
虜 虏
釐 厘
蹺 跷
滯 滞
淵 渊
濱 滨
穢 秽
鐲 镯
欽 钦
訕 讪
趨 趋
辮 辫
嗆 呛
貶 贬
髏 髅
漬 渍
槓 杠
竄 窜
頰 颊
驟 骤
噠 哒
閘 闸
穎 颖
綢 绸
廝 厮
錨 锚
嗶 哔
壩 坝
閥 阀
靂 雳
鑄 铸
釁 衅
挾 挟
謗 谤
慚 惭
覓 觅
繡 绣
殯 殡
瀕 濒
臍 脐
