一
乙
丝 "⿱⿰⿱𠃋𠃋⿱𠃋𠃋一 or ⿰纟纟"
邦 ⿰丰阝
式 ⿹弋工
迂 ⿺辶于
刑 ⿰开刂
戎 "⿹戈𠂇(GHTJK) or ⿻戊一(V)"
动 ⿰云力
扛 ⿰扌工
寺 "⿱土寸(GJKV) or ⿱士寸(HT)"
吉 ⿱士口
扣 ⿰扌口
考 "⿱耂丂(GTV) or ⿱耂⿺㇉一(H) or ⿱耂⿺㇉丿(JK)"
托 ⿰扌乇
老 ⿱耂匕
巩 "⿰工凡(G) or ⿰工⿹⺄㐅(HT) or ⿰工卂(J)"
圾 ⿰土及
执 ⿰扌丸
扩 ⿰扌广
扫 ⿰扌𫜹
地 ⿰土也
场 ⿰土𠃓
扬 ⿰扌𠃓
耳
芋 ⿱艹于
共 ⿱龷八
芒 ⿱艹亡
亚 "⿱一业 or ⿻𮯰丷"
芝 ⿱艹之
朽 ⿰木丂
朴 ⿰木卜
机 ⿰木几
权 ⿰木又
过 ⿺辶寸
臣 "⿺𠃊⿳丅𠃍丅 or ⿷匚⿳丨コ丨 or ⿻巨⿱丨丨"
吏 "⿻一史 or ⿻丈口"
再 ⿱一冉
协 ⿰十办
西 ⿱一𠁤
压 ⿸厂圡
厌 ⿸厂犬
戌 "⿵戊一(GHTJK) or ⿹戈⿰丿一(V)"
在 ⿸𠂇⿰丨土
百 "⿱一白 or ⿱丆日"
有 ⿸𠂇月
存 ⿸𠂇⿰丨子
而 "⿱一𦓐 or ⿱丆𦉫"
页 ⿱丆贝
匠 ⿷匚斤
夸 ⿱大亏
夺 ⿱大寸
灰 "⿸𠂇火(GHTK) or ⿸厂火(JV or U+2F835)"
达 ⿺辶大
列 ⿰歹刂
死 "⿸歹匕 or ⿱一⿰夕匕"
成 ⿵戊𠃌
夹 "⿻大䒑 or ⿻夫丷"
夷 ⿻大弓
轨 ⿰车九
邪 ⿰牙阝
尧 ⿱𭠍兀
划 ⿰戈刂(GHTJK)
迈 ⿺辶万
毕 ⿱比十
至 ⿱𠫔土
此 ⿰止匕
贞 ⿱⺊贝
师 "⿰刂帀 or ⿲丶丿帀"
尘 ⿱小土
尖 "⿱⿻丨八大(GTV) or ⿱小大(HJK)"
劣 ⿱少力
光 ⿱⺌兀
当 ⿱⺌𫜹
早 ⿱日十
吁 ⿰口于
吐 ⿰口土
吓 ⿰口下
虫 ⿱中⿰㇀丶
曲 ⿻曰⿰丨丨
团 ⿴囗才
吕 ⿱口口
同 ⿵冂𠮛
吊 ⿱口巾
吃 ⿰口乞
因 ⿴囗大
吸 ⿰口及
吗 ⿰口马
吆 ⿰口幺
屿 ⿰山与
屹 ⿰山乞
岁 ⿱山夕
帆 ⿰巾凡
回 ⿴囗口
岂 ⿱山己
则 ⿰贝刂
刚 ⿰冈刂
网 ⿵冂⿰㐅㐅
肉 "⿵内人 or ⿻冂仌"
年 "⿱𠂉㐄 or ⿻午⿱一丨 or ⿻午丄"
朱 "⿰丿未 or ⿻𠂉木"
先 ⿱𠂒儿
丢 ⿱㇒去
廷 ⿺廴𡈼
舌 "⿱千口(GJKV) or ⿱干口(HT)"
竹 ⿰亇亇
迁 ⿺辶千
乔 ⿱夭⿰丿丨
迄 ⿺辶乞
伟 ⿰亻韦
传 ⿰亻专
乒 ⿱丘丿
乓 ⿱丘丶
休 ⿰亻木
伍 ⿰亻五
伏 ⿰亻犬
优 ⿰亻尤
臼 ⿵⿲丨⿱丿一⿹𠃍一一
伐 ⿰亻戈
延 "⿺廴⿳丿⺊𠃊(GK) or ⿺廴⿱丿止(HTJ) or ⿺廴⿳一⺊𠃊(V) or ⿺廴⿱⿰丅一𠃊(V)) (Note: The Simplified Chinese version of the component 𠂛 is referred to as 延字心 (yánzìxīn) in Mandarin."
仲 ⿰亻中
件 ⿰亻牛
任 ⿰亻壬
伤 ⿰亻⿱𠂉力
价 ⿰亻介
伦 ⿰亻仑
份 ⿰亻分
华 ⿱化十
仰 ⿰亻卬
仿 ⿰亻方
伙 ⿰亻火
伪 ⿰亻为
自 ⿱丿目
伊 ⿰亻尹
血 ⿱丿皿
向 "⿱丿冋 or ⿵𰃦口"
似 ⿰亻以
后 ⿸𠂋口
行 ⿰彳亍
舟 "⿻𠔾⺀ or ⿻𠔾⿱丶丨"
全 "⿱人王 (GJV) or ⿱入王 (HTK)"
会 "⿱人云 or ⿱亼𠫔"
杀 "⿱㐅朩(G) or ⿱㐅𣎳(T)"
合 ⿱亼口
兆 "⿻儿⿱丷八 or ⿻儿⿰冫⿱丿丶"
企 ⿱𠆢止
众 ⿱𠆢从
爷 ⿱父𰆊
伞 ⿱人⿻丷十
创 ⿰仓刂
肌 ⿰⺼几
肋 ⿰⺼力
朵 "⿱𠘧木(G) or ⿱𠘧𣎳(HT) or ⿱几木(KV)"
杂 "⿱九朩(G) or ⿱九𣎳(T)"
危 ⿸厃㔾
旬 ⿹勹日
旨 ⿱匕日
旭 ⿺九日
负 ⿱⺈贝
匈 ⿹勹凶
名 ⿱夕口
各 ⿱夂口
多 ⿱夕夕
争 ⿱⺈⿻⺕亅
色 ⿱⺈巴
壮 "⿰丬士(U+58EE) or ⿰丬土(U+2F851)"
冲 ⿰冫中
妆 ⿰丬女
冰 ⿰冫水
庄 ⿸广土
庆 ⿸广大
亦 "⿱亠⿻小丿(GTJK) or ⿵六⿰丿亅(GTJK) or ⿱亠⿻小丨(H) or ⿵六刂(H)"
刘 ⿰文刂
齐 ⿱文⿰丿丨
交 "⿱亠父 or ⿱六乂"
衣 ⿱亠𧘇
次 "⿰冫欠(GJV) or ⿰二欠(HKT)"
产 ⿳亠丷厂
决 ⿰冫夬
亥 "⿳亠𠂈人 or ⿱丶𠀔"
充 ⿱𠫓儿
妄 ⿱亡女
闭 ⿵门才
问 ⿵门口
闯 ⿵门马
羊 ⿱䒑𰀁
并 "⿱丷开 or ⿱䒑廾"
关 "⿱丷天(GJ) or ⿱䒑大(GJ) or ⿱八天(T)"
米 "⿻丷木(GHJKV) or ⿻十⿱丷八(T) or ⿻丷⿻十八(T)"
灯 ⿰火丁
州 "⿻⿲丿丶丶川(GJKV) or ⿻⿲丶丶丶川(HT)"
汗 ⿰氵干
污 ⿰氵亏
江 ⿰氵工
汛 ⿰氵卂
池 ⿰氵也
汝 ⿰氵女
汤 ⿰氵𠃓
忙 ⿰忄亡
兴 ⿳𭕄一八
宇 ⿱宀于
守 ⿱宀寸
宅 ⿱宀乇
字 ⿱宀子
安 ⿱宀女
讲 ⿰讠井
讳 ⿰讠韦
军 ⿱冖车
讶 ⿰讠牙
许 ⿰讠午
讹 ⿰讠化
论 ⿰讠仑
讼 ⿰讠公
农 ⿻冖𧘇
讽 ⿰讠风
设 ⿰讠殳
访 ⿰讠方
诀 ⿰讠夬
寻 ⿱𫜹寸
那 ⿰𭃂阝
迅 ⿺辶卂
尽 ⿱尺⺀
导 ⿱巳寸
异 "⿱巳廾(G) or ⿱己廾(HTJK)"
弛 ⿰弓也
孙 ⿰子小
阵 ⿰阝车
阳 ⿰阝日
收 ⿰丩攵
阶 ⿰阝介
阴 ⿰阝月
防 ⿰阝方
奸 ⿰女干
如 ⿰女口
妇 ⿰女𫜹
妃 ⿰女己
好 ⿰女子
她 ⿰女也
妈 ⿰女马
戏 ⿰又戈
羽 "⿰习习(GHTJV) or ⿰⿹𠃌⿱丿丿⿹𠃌⿱丿丿(K or U+FA1E)"
观 ⿰又见
欢 ⿰又欠
买 ⿱乛头
红 ⿰纟工
驮 ⿰马大
纤 ⿰纟千
驯 ⿰马川
约 ⿰纟勺
级 ⿰纟及
纪 ⿰纟己
驰 ⿰马也
纫 ⿰纟刃
巡 ⿺辶巛
寿 "⿸⿻三丿寸(GTV or U+2F872) or ⿻⿻三丿寸(HJK)"
弄 ⿱王廾
