巛,  
示 5 ⿱二小
击 5 ⿻二山
打 5 ⿰扌丁
巧 5 ⿰工丂
正 5 ⿱一止
扑 5 ⿰扌卜
卉 5 ⿱十廾
扒 5 ⿰扌八
功 5 ⿰工力
扔 5 ⿰扌乃
去 5 ⿱土厶
甘 5 ⿻廿一
艾 5 ⿱艹乂
古 5 ⿱十口
节 5 ⿱艹𰆊
本 5 ⿻木一
术 5 ⿺木丶
可 5 ⿹丁口
丙 5 ⿱一内
左 5 ⿸𠂇工
厉 5 ⿸厂万
石 5 ⿸丆口
右 5 ⿸𠂇口
布 5 ⿸𠂇巾
夯 5 ⿱大力
戊 5 ⿰丿戈
龙 5 ⿺𡯃丶
平 5 ⿻干丷
灭 5 ⿱一火
轧 5 ⿰车乚
东 5 ⿻⿻一𠃋小
卡 5 ⿱上卜
北 5 ⿲⿱一丨匕
占 5 ⿱口
凸 5 ⿵⿰⿳丨一丨一
卢 5 ⿱尸
业 5 ⿶䒑⿰丨丨
旧 5 ⿰丨日
帅 5 ⿰巾
归 5 ⿰𫜹
旦 5 ⿱日一
目 5 ⿴囗𠄠
且 5 ⿱一
叶 5 ⿰口十
甲 5 ⿻日丨
申 5 ⿻日丨
叮 5 ⿱口丁
电 5 ⿻日乚
号 5 ⿱口丂
田 5 ⿴囗十
由 5 ⿻日丨
只 5 ⿱口八
叭 5 ⿰口八
史 5 ⿻口乂
央 5 ⿻冂大
兄 5 ⿱口儿
叽 5 ⿰口几
叼 5 ⿰口刁
叫 5 ⿰口丩
叩 5 ⿰口卩
叨 5 ⿰口刀
另 5 ⿱口力
叹 5 ⿰口又
冉 5 ⿻冂土
皿 5 ⿴𠀃⿰丨丨
囚 5 ⿴囗人
四 5 ⿴囗⿰丿
生 5 ⿻𠂉土
矢 5 ⿱𠂉大
失 5 ⿰丿夫
乍 5 ⿱𠂉⿰丨二
禾 5 ⿱丿木
丘 5 ⿱斤一
付 5 ⿰亻寸
仗 5 ⿰亻丈
代 5 ⿰亻弋
仙 5 ⿰亻山
们 5 ⿰亻门
仪 5 ⿰亻义
白 5 ⿱丿日
仔 5 ⿰亻子
他 5 ⿰亻也
斥 5 ⿸斤丶
瓜 5 ⿸𠂆⿰厶
乎 5 ⿻𠂌丷
丛 5 ⿱从一
令 5 ⿱亽龴
用 5 ⿵𰀁
甩 5 ⿻月乚
尔 5 ⿱小
乐 5 ⿻⿱丿𠃋小
句 5 ⿹勹口
匆 5 ⿻勿丶
册 5 ⿻⿰冂冂一
卯 5 ⿰𠂎卩
犯 5 ⿰犭㔾
外 5 ⿰夕卜
处 5 ⿺夂卜
冬 5 ⿱夂
鸟 5 ⿴乌丶
务 5 ⿱夂力
包 5 ⿹勹巳
饥 5 ⿰饣几
主 5 ⿱丶王
市 5 ⿱丶帀
立 5 ⿱亠䒑
冯 5 ⿰冫马
玄 5 ⿱亠幺
闪 5 ⿵门人
兰 5 ⿱丷三
半 5 ⿻丷𰀁
汁 5 ⿰氵十
汇 5 ⿰氵匚
头 5 ⿻大
汉 5 ⿰氵又
宁 5 ⿱宀丁
穴 5 ⿱宀八
它 5 ⿱宀匕
讨 5 ⿰讠寸
让 5 ⿰讠上
礼 5 ⿰礻乚
训 5 ⿰讠川
议 5 ⿰讠义
必 5 ⿻心丿
讯 5 ⿰讠卂
记 5 ⿰讠己
永 5 ⿱丶⿲𠃌⿺丿
司 5 ⿹𠃌𠮛
尼 5 ⿸尸匕
民 5 ⿸⿰𠄌𫠠
弗 5 ⿻⿰丿丨弓
弘 5 ⿰弓厶
出 5 ⿱屮凵
辽 5 ⿺辶了
奶 5 ⿰女乃
