zhen1shi2 真实 "true; real" "庚子 衰老 湿透 真实 贿赂" 127
fa1xian4 发现 "to notice; to become aware of; to discover; to find; to detect; a discovery" "均可 灭亡 包庇 发现 鏖战" 128
chu1xian4 出现 "to appear; to arise; to emerge; to show up" "粪土 催促 高耸 出现 斜睨" 129
zuo4dao4 做到 "to accomplish; to achieve" "往往 倾诉 虽说 做到 依赖" 130
zuo4chu1 做出 "to put out; to issue" "痴迷 鹧鸪 锻造 做出 卵子" 131
jiao4zuo4 叫做 "to be called; to be known as" "𫟼 嗅觉 威胁 叫做 前瞻" 132
da4jia1 大家 "everyone; influential family; great expert" "𫘪 苏菲 兼职 大家 大侠" 133
da4xue2 大学 "university; college" "寂静 扒开 右边 大学 衬衫" 134
da4gai4 大概 "roughly; probably; rough; approximate; about; general idea" "虹桥 除了 肝炎 大概 资金" 135
a1ya1 啊呀 "interjection of surprise" "鞠躬 依旧 泛滥 啊呀 撞击" 136
zen3yang4 怎样 "how; what kind" "珍贵 遥望 喷出 怎样 猪头" 137
zen3me5yang4 怎么样 "how?; how about?; how was it?; how are things?" 怎么样 138
ti2chu1 提出 "to raise (an issue); to propose; to put forward; to suggest; to post (on a website); to withdraw (cash)" "拥挤 纯净 沉重 提出 科技" 139
chu1ban3 出版 "to publish" "肯定 海峡 俄文 出版 崇拜" 140
you3dian3 有点 "a little" "关于 衬托 游艇 有点 哪些" 141
guan1dian3 观点 "point of view; viewpoint; standpoint" "检查 谈判 敲打 观点 苹果" 142
zhong4dian3 重点 "important point; main point; focus; key (project etc); to focus on; to put the emphasis on" "私塾 中庸 圣经 重点 最高" 143
yi1qi3 一起 "in the same place; together; with; altogether (in total)" "从此 清秀 标志 一起 马上" 144
xiang3qi3 想起 "to recall; to think of; to call to mind" "推崇 敲打 加盟 想起 仁兄" 145
jin1tian1 今天 "today; at the present; now" "氧化 披风 干燥 今天 亏损" 146
mei3tian1 每天 "every day; everyday" "根本 扫描 剑桥 每天 阁楼" 147
zuo2tian1 昨天 yesterday "借助 胸脯 赋税 昨天 阻挡" 148
ba3wo4 把握 "to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)" "安抚 参禅 恰好 把握 增长" 149
ge4ba3 个把 "one or two; a couple of" "妈妈 焚烧 叙事 个把 丸子" 150
ba3xi4 把戏 "acrobatics; jugglery; trick; ploy" "星辰 潇洒 期待 把戏 痛苦" 151
