爱 ai4
数码 shu4ma3
刷 shua1
刷牙 shua1ya2
刷子 shua1zi5
帅 shuai4
帅哥 shuai4ge1
睡着 shui4zhao2
率先 shuai4xian1
说不定 shuo1bu5ding4
说服 shuo1fu2
似乎 si4hu1
顺序 shun4xu4
松树 song1shu4
思考 si1kao3
松 song1
塑料袋 su4liao4dai4
酸 suan1
塑料 su4liao4
酸奶 suan1nai3
随手 sui2shou3
孙子 sun1zi5
孙女 sun1nü5
缩短 suo1duan3
台阶 tai2jie1
缩小 suo1xiao3
台上 tai2shang4
套餐 tao4can1
躺 tang3
特殊 te4shu1
特征 te4zheng1
提醒 ti2xing3
特价 te4jia4
提供 ti2gong1
体重 ti3zhong4
体操 ti3cao1
体检 ti3jian3
替代 ti4dai4
替 ti4
天真 tian1zhen1
填空 tian2kong4
填 tian2
挑 tiao1
挑选 tiao1xuan3
调皮 tiao2pi2
贴 tie1
挑战 tiao3zhan4
停下 ting2xia4
挺 ting3
通知书 tong1zhi1shu1
童话 tong2hua4
同情 tong2qing2
统计 tong3ji4
童年 tong2nian2
统一 tong3yi1
投 tou2
痛快 tong4kuai5
投诉 tou2su4
投入 tou2ru4
透 tou4
投资 tou2zi1
途中 tu2zhong1
图案 tuan2
推迟 tui1chi2
土地 tu3di5
透明 tou4ming2
推销 tui1xiao1
袜子 wa4zi5
脱 tuo1
外汇 wai4hui4
外交官 wai4jiao1guan1
外套 wai4tao4
晚点 wan3dian3
弯 wan1
万一 wan4yi1
王 wang2
网络 wang3luo4
微笑 wei1xiao4
网址 wang3zhi3
围巾 wei2jin1
微信 wei1xin4
维持 wei2chi2
维护 wei2hu4
维修 wei2xiu1
尾巴 wei3ba5
未必 wei4bi4
未来 wei4lai2
位于 wei4yu2
位置 wei4zhi5
喂 wei4
味儿 wei4
稳 wen3
稳定 wen3ding4
无 wu2
无法 wu2fa3
无聊 wu2liao2
无论 wu2lun4
问候 wen4hou4
无所谓 wu2suo3wei4
无数 wu2shu4
无限 wu2xian4
五颜六色 wu3yan2liu4se4
西瓜 xi1gua5
误会 wu4hui4
吸 xi1
吸管 xi1guan3
吸收 xi1shou1
吸烟 xi1yan1
吸引 xi1yin3
喜爱 xi3ai4
系统 xi4tong3
系列 xi4lie4
细 xi4
细节 xi4jie2
细致 xi4zhi4
下降 xia4jiang4
下个月 xia4ge4yue4
下楼 xia4lou2
夏季 xia4ji4
下载 xia4zai4
鲜 xian1
鲜花 xian1hua1
鲜明 xian1ming2
咸 xian2
显著 xian3zhu4
县 xian4
限制 xian4zhi4
相处 xiang1chu3
相反 xiang1fan3
箱 xiang1
箱子 xiang1zi5
想念 xiang3nian4
想象 xiang3xiang4
项目 xiang4mu4
项 xiang4
相片 xiang4pian4
销售 xiao1shou4
消化 xiao1hua4
小吃 xiao3chi1
小伙子 xiao3huo3zi5
小型 xiao3xing2
效率 xiao4lü4
些 xie1
心理 xin1li3
新郎 xin1lang2
新娘 xin1niang2
新鲜 xin1xian5
新型 xin1xing2
兴奋 xing1fen4
形容 xing2rong2
形势 xing2shi4
型 xing2
型号 xing2hao4
醒 xing3
兴趣 xing4qu4
性质 xing4zhi4
胸部 xiong1bu4
兄弟 xiong1di5
修理 xiu1li3
选择 xuan3ze2
学年 xue2nian2
学分 xue2fen1
学时 xue2shi2
学问 xue2wen5
学术 xue2shu4
寻找 xun2zhao3
牙 ya2
迅速 xun4su4
亚运会 ya4yun4hui4
牙刷 ya2shua1
呀 ya
延长 yan2chang2
延期 yan2qi1
严格 yan2ge2
严 yan2
延续 yan2xu4
严重 yan2zhong4
研究 yan2jiu1
研究生 yan2jiu1sheng1
研制 yan2zhi4
盐 yan2
眼镜 yan3jing4
眼泪 yan3lei4
演讲 yan3jiang3
阳台 yang2tai2
腰 yao1
眼里 yan3li5
养成 yang3cheng2
药物 yao4wu4
摇 yao2
要 yao4
业余 ye4yu2
医疗 yi1liao2
医学 yi1xue2
依靠 yi1kao4
一律 yi1lü4
一致 yi1zhi4
叶子 ye4zi5
依然 yi1ran2
一再 yi1zai4
移动 yi2dong4
移 yi2
遗产 yi2chan3
移民 yi2min2
遗传 yi2chuan2
疑问 yi2wen4
以及 yi3ji2
以内 yi3nei4
一般来说 yi1ban1lai2shuo1
义务 yi4wu4
议论 yi4lun4
引 yin3
引导 yin3dao3
引起 yin3qi3
引进 yin3jin4
应 ying1
英勇 ying1yong3
营业 ying2ye4
影子 ying3zi5
勇敢 yong3gan3
赢得 ying2de2
用途 yong4tu2
优良 you1liang2
勇气 yong3qi4
优美 you1mei3
邮局 you2ju2
优秀 you1xiu4
有劲儿 you3jin4
有限 you3xian4
有趣 you3qu4
幼儿园 you4er2yuan2
于是 yu2shi4
语法 yu3fa3
玉 yu4
语音 yu3yin1
预订 yu4ding4
玉米 yu4mi3
预测 yu4ce4
遇 yu4
遇见 yu4jian5
遇到 yu4dao4
原料 yuan2liao4
圆 yuan2
原则 yuan2ze2
圆满 yuan2man3
约会 yue1hui5
月底 yue4di3
运动会 yun4dong4hui4
阅读 yue4du2
运动员 yun4dong4yuan2
运气 yun4qi5
运用 yun4yong4
在乎 zai4hu5
再三 zai4san1
赞成 zan4cheng2
在于 zai4yu2
赞赏 zan4shang3
赞助 zan4zhu4
造型 zao4xing2
战斗 zhan4dou4
战士 zhan4shi4
战胜 zhan4sheng4
战争 zhan4zheng1
丈夫 zhang4fu5
着 zhe
招呼 zhao1hu5
着火 zhao2huo3
着急 zhao2ji2
召开 zhao4kai1
折 zhe2
针 zhen1
针对 zhen1dui4
阵 zhen4
争论 zheng1lun4
征服 zheng1fu2
政府 zheng4fu3
征求 zheng1qiu2
政治 zheng4zhi4
之前 zhi1qian2
之后 zhi1hou4
之一 zhi1yi1
支 zhi1
之间 zhi1jian1
植物 zhi2wu4
制订 zhi4ding4
指挥 zhi3hui1
质量 zhi4liang4
治 zhi4
治疗 zhi4liao2
智力 zhi4li4
智能 zhi4neng2
中介 zhong1jie4
种类 zhong3lei4
中奖 zhong4jiang3
种植 zhong4zhi2
种 zhong3
逐渐 zhu2jian4
逐步 zhu2bu4
重量 zhong4liang4
主席 zhu3xi2
祝福 zhu4fu2
主题 zhu3ti2
著名 zhu4ming2
抓紧 zhua1jin3
专心 zhuan1xin1
转动 zhuan3dong4
著作 zhu4zuo4
转告 zhuan3gao4
转身 zhuan3shen1
转弯 zhuan3wan1
装修 zhuang1xiu1
装置 zhuang1zhi4
转移 zhuan3yi2
准时 zhun3shi2
追求 zhui1qiu2
资料 zi1liao4
自 zi4
资源 zi1yuan2
字母 zi4mu3
综合 zong1he2
自信 zi4xin4
总共 zong3gong4
总理 zong3li3
总统 zong3tong3
总之 zong3zhi1
阻止 zu3zhi3
嘴巴 zui3ba5
作出 zuo4chu1
作为 zuo4wei2
最初 zui4chu1
做梦 zuo4meng4
安慰 an1wei4
岸 an4
岸上 an4shang4
拔 ba2
按摩 an4mo2
白酒 bai2jiu3
扮演 ban4yan3
拜访 bai4fang3
包围 bao1wei2
包装 bao1zhuang1
版 ban3
棒 bang4
保卫 bao3wei4
报答 bao4da2
报警 bao4jing3
背包 bei1bao1
保养 bao3yang3
悲伤 bei1shang1
悲剧 bei1ju4
抱怨 bao4yuan5
被动 bei4dong4
辈 bei4
本人 ben3ren2
鼻子 bi2zi5
比方 bi3fang5
比重 bi3zhong4
北极 bei3ji2
必需 bi4xu1
毕竟 bi4jing4
闭幕 bi4mu4
彼此 bi3ci3
闭幕式 bi4mu4shi4
编辑 bian1ji2
必 bi4
便利 bian4li4
变动 bian4dong4
便条 bian4tiao2
边境 bian1jing4
便于 bian4yu2
宾馆 bin1guan3
病毒 bing4du2
饼干 bing3gan1
博客 bo2ke4
饼 bing3
玻璃 bo1li5
博士 bo2shi4
博览会 bo2lan3hui4
博物馆 bo2wu4guan3
不利 bu4li4
薄弱 bo2ruo4
不耐烦 bu4nai4fan2
不顾 bu4gu4
补偿 bu3chang2
不幸 bu4xing4
不易 bu4yi4
不曾 bu4ceng2
不得了 bu4de2liao3
补贴 bu3tie1
不敢当 bu4gan3dang1
不免 bu4mian3
不时 bu4shi2
不能不 bu4neng2bu4
不停 bu4ting2
不许 bu4xu3
不良 bu4liang2
部位 bu4wei4
不止 bu4zhi3
猜测 cai1ce4
不足 bu4zu2
采购 cai3gou4
裁判 cai2pan4
猜 cai1
餐馆 can1guan3
餐厅 can1ting1
彩票 cai3piao4
草原 cao3yuan2
层次 ceng2ci4
册 ce4
餐饮 can1yin3
叉子 cha1zi5
差别 cha1bie2
差距 cha1ju4
查询 cha2xun2
插 cha1
叉 cha1
差点儿 cha4dian3
拆除 chai1chu2
拆 chai1
长度 chang2du4
长寿 chang2shou4
产业 chan3ye4
肠 chang2
尝 chang2
尝试 chang2shi4
厂长 chang3zhang3
场面 chang3mian4
超越 chao1yue4
倡导 chang4dao3
称 cheng1
车主 che1zhu3
称号 cheng1hao4
成交 cheng2jiao1
成效 cheng2xiao4
成本 cheng2ben3
成语 cheng2yu3
承办 cheng2ban4
城里 cheng2li3
乘 cheng2
乘车 cheng2che1
乘坐 cheng2zuo4
吃力 chi1li4
池子 chi2zi5
乘客 cheng2ke4
冲动 chong1dong4
迟 chi2
充足 chong1zu2
冲突 chong1tu1
愁 chou2
臭 chou4
丑 chou3
出差 chu1chai1
出版 chu1ban3
出汗 chu1han4
初期 chu1qi1
出于 chu1yu2
除非 chu2fei1
厨房 chu2fang2
处罚 chu3fa2
除夕 chu2xi1
处分 chu3fen4
传达 chuan2da2
传递 chuan2di4
传真 chuan2zhen1
窗帘 chuang1lian2
处在 chu3zai4
闯 chuang3
创立 chuang4li4
辞典 ci2dian3
此后 ci3hou4
辞职 ci2zhi2
聪明 cong1ming5
此刻 ci3ke4
此时 ci3shi2
从而 cong2er2
从中 cong2zhong1
脆 cui4
寸 cun4
存款 cun2kuan3
达成 da2cheng2
答复 da2fu5
答 da2
打 da3
打扮 da3ban5
打击 da3ji1
打包 da3bao1
打扰 da3rao3
打架 da3jia4
大胆 da4dan3
大纲 da4gang1
大都 da4du1
大伙儿 da4huo3
大奖赛 da4jiang3sai4
大脑 da4nao3
大事 da4shi4
大厅 da4ting1
大象 da4xiang4
大熊猫 da4xiong2mao1
大于 da4yu2
呆 dai1
大致 da4zhi4
代价 dai4jia4
待 dai4
代理 dai4li3
带有 dai4you3
贷款 dai4kuan3
单一 dan1yi1
胆小 dan3xiao3
胆 dan3
当场 dang1chang3
蛋糕 dan4gao1
当代 dang1dai4
当年 dang1nian2
当前 dang1qian2
当选 dang1xuan3
挡 dang3
到来 dao4lai2
道德 dao4de2
倒是 dao4shi4
得了 de2le5
得以 de2yi3
等级 deng3ji2
等候 deng3hou4
地带 di4dai4
低于 di1yu2
地形 di4xing2
递 di4
地震 di4zhen4
递给 di4gei3
典礼 dian3li3
点燃 dian3ran2
电池 dian4chi2
电子版 dian4zi3ban3
电饭锅 dian4fan4guo1
丢 diu1
调动 diao4dong4
动手 dong4shou3
动机 dong4ji1
动态 dong4tai4
动员 dong4yuan2
洞 dong4
冻 dong4
豆制品 dou4zhi4pin3
毒 du2
堆 dui1
对立 dui4li4
对应 dui4ying4
朵 duo3
吨 dun1
躲 duo3
耳朵 er3duo5
儿女 er2nü3
二维码 er4wei2ma3
发觉 fa1jue2
发射 fa1she4
发行 fa1hang2
罚 fa2
发布 fa1bu4
罚款 fa2kuan3
法制 fa3zhi4
法规 fa3gui1
返回 fan3hui2
繁荣 fan2rong2
放大 fang4da4
防治 fang2zhi4
放弃 fang4qi4
分成 fen1cheng2
分类 fen1lei4
分离 fen1li2
分解 fen1jie3
丰收 feng1shou1
分享 fen1xiang3
分析 fen1xi1
风度 feng1du4
风光 feng1guang5
封 feng1
疯狂 feng1kuang2
扶 fu2
疯 feng1
服从 fu2cong2
幅度 fu2du4
福利 fu2li4
幅 fu2
辅助 fu3zhu4
负责人 fu4ze2ren2
附件 fu4jian4
改革 gai3ge2
干脆 gan1cui4
感想 gan3xiang3
干扰 gan1rao3
干预 gan1yu4
钢琴 gang1qin2
钢笔 gang1bi3
高度 gao1du4
高跟鞋 gao1gen1xie2
高大 gao1da4
高温 gao1wen1
高原 gao1yuan2
高于 gao1yu2
搞好 gao3hao3
搞 gao3
歌曲 ge1qu3
个儿 er
隔壁 ge2bi4
跟前 gen1qian5
更换 geng1huan4
跟随 gen1sui2
工艺 gong1yi4
工作日 gong1zuo4ri4
更新 geng1xin1
公认 gong1ren4
公式 gong1shi4
公告 gong1gao4
公正 gong1zheng4
共计 gong4ji4
共享 gong4xiang3
沟通 gou1tong1
沟 gou1
鼓 gu3
估计 gu1ji4
古老 gu3lao3
鼓掌 gu3zhang3
鼓励 gu3li4
顾问 gu4wen4
关怀 guan1huai2
关键 guan1jian4
冠军 guan4jun1
怪 guai4
光荣 guang1rong2
光线 guang1xian4
广 guang3
广泛 guang3fan4
鬼 gui3
规划 gui1hua4
柜子 gui4zi5
滚 gun3
国籍 guo2ji2
锅 guo1
国民 guo2min2
过于 guo4yu2
过敏 guo4min3
害 hai4
过度 guo4du4
好运 hao3yun4
号召 hao4zhao4
汗 han4
合并 he2bing4
合成 he2cheng2
盒饭 he2fan4
盒 he2
贺卡 he4ka3
恨 hen4
盒子 he2zi5
后悔 hou4hui3
胡同儿 hu2tong4
胡子 hu2zi5
猴 hou2
华语 hua2yu3
虎 hu3
滑 hua2
化石 hua4shi2
画面 hua4mian4
划分 hua4fen1
环节 huan2jie2
慌忙 huang1mang2
慌 huang1
灰色 hui1se4
回报 hui2bao4
回顾 hui2gu4
回收 hui2shou1
回避 hui2bi4
回头 hui2tou2
恢复 hui1fu4
回信 hui2xin4
汇款 hui4kuan3
活力 huo2li4
会谈 hui4tan2
活泼 huo2po5
回忆 hui2yi4
火柴 huo3chai2
火腿 huo3tui3
或是 huo4shi4
机器人 ji1qi4ren2
火灾 huo3zai1
肌肉 ji1rou4
机制 ji1zhi4
基金 ji1jin1
即使 ji2shi3
基地 ji1di4
挤 ji3
记忆 ji4yi4
集团 ji2tuan2
加热 jia1re4
继承 ji4cheng2
技能 ji4neng2
加上 jia1shang5
加速 jia1su4
夹 jia1
加以 jia1yi3
驾驶 jia4shi3
价 jia4
驾照 jia4zhao4
坚定 jian1ding4
艰苦 jian1ku3
艰难 jian1nan2
检验 jian3yan4
减轻 jian3qing1
肩 jian1
剪 jian3
剪刀 jian3dao1
剪子 jian3zi5
间接 jian4jie1
建造 jian4zao4
健全 jian4quan2
甲 jia3
建筑 jian4zhu4
键盘 jian4pan2
键 jian4
将 jiang1
奖励 jiang3li4
将要 jiang1yao4
交代 jiao1dai4
胶带 jiao1dai4
胶水 jiao1shui3
郊区 jiao1qu1
脚步 jiao3bu4
接连 jie1lian2
解除 jie3chu2
接触 jie1chu4
解放 jie3fang4
届 jie4
今日 jin1ri4
戒 jie4
紧紧 jin3jin3
尽可能 jin3ke3neng2
尽管 jin3guan3
进化 jin4hua4
近来 jin4lai2
经费 jing1fei4
景象 jing3xiang4
警告 jing3gao4
竞赛 jing4sai4
竞争 jing4zheng1
救灾 jiu4zai1
酒鬼 jiu3gui3
居然 ju1ran2
局面 ju2mian4
局长 ju2zhang3
拒绝 ju4jue2
俱乐部 ju4le4bu4
剧本 ju4ben3
举动 ju3dong4
绝望 jue2wang4
军人 jun1ren2
决不 jue2bu4
开幕 kai1mu4
开幕式 kai1mu4shi4
看成 kan4cheng2
看待 kan4dai4
看出 kan4chu1
烤肉 kao3rou4
考核 kao3he2
靠近 kao4jin4
烤鸭 kao3ya1
咳 hai1
颗 ke1
可怜 ke3lian2
可 ke3
可惜 ke3xi1
渴望 ke3wang4
客户 ke4hu4
刻 ke4
客气 ke4qi5
课题 ke4ti2
客厅 ke4ting1
空中 kong1zhong1
口号 kou3hao4
控制 kong4zhi4
肯定 ken3ding4
库 ku4
快活 kuai4huo5
狂 kuang2
宽度 kuan1du4
落 luo4
困扰 kun4rao3
亏 kui1
来信 lai2xin4
烂 lan4
朗读 lang3du2
浪漫 lang4man4
梨 li2
劳动 lao2dong5
礼拜 li3bai4
礼貌 li3mao4
礼 li3
厉害 li4hai5
立场 li4chang3
利润 li4run4
例外 li4wai4
连接 lian2jie1
联想 lian2xiang3
联络 lian2luo4
立 li4
脸盆 lian3pen2
恋爱 lia4nai4
两岸 lian3gan4
脸色 lian3se4
铃声 ling2sheng1
邻居 lin2ju1
领带 ling3dai4
令 ling4
流动 liu2dong4
铃 ling2
流通 liu2tong1
漏洞 lou4dong4
漏 lou4
逻辑 luo2ji5
落实 luo4shi2
码头 ma3tou5
买卖 mai3mai5
漫长 man4chang2
毛笔 mao2bi3
漫画 man4hua4
冒 mao4
矛盾 mao2dun4
骂 ma4
贸易 mao4yi4
煤 mei2
煤气 mei2qi4
门诊 men2zhen3
迷信 mi2xin4
面貌 mian4mao4
迷人 mi2ren2
秒 miao3
敏感 min3gan3
明亮 ming2liang4
面子 mian4zi5
明明 ming2ming2
命令 ming4ling4
模仿 mo2fang3
模范 mo2fan4
模糊 mo2hu5
模式 mo2shi4
摩擦 mo2ca1
摩托 mo2tuo1
模样 mu2yang4
目光 mu4guang1
男性 nan2xing4
南北 nan2bei3
耐心 nai4xin1
南极 nan2ji2
难得 nan2de2
难以 nan2yi3
能量 neng2liang4
内在 nei4zai4
年龄 nian2ling2
年度 nian2du4
年前 nian2qian2
脑子 nao3zi5
牛仔裤 niu2zai3ku4
牛 niu2
农产品 nong2chan3pin3
暖 nuan3
女性 nü3xing4
偶然 ou3ran2
偶像 ou3xiang4
偶尔 ou3er3
排除 pai2chu2
拍摄 pai1she4
陪 pei2
赔 pei2
赔偿 pei2chang2
配备 pei4bei4
旁 pang2
配套 pei4tao4
喷 pen1
盆 pen2
披 pi1
皮肤 pi2fu1
脾气 pi2qi5
皮鞋 pi2xie2
骗 pian4
骗子 pian4zi5
频道 pin2dao4
拼 pin1
频繁 pin2fan2
品 pin3
品种 pin3zhong3
匹 pi3
平坦 ping2tan3
平原 ping2yuan2
评论 ping2lun4
评估 ping2gu1
凭 ping2
葡萄 pu2tao5
泼 po1
葡萄酒 pu2tao5jiu3
其 qi2
启动 qi3dong4
齐全 qi2quan2
启发 qi3fa1
启事 qi3shi4
起到 qi3dao4
期望 qi1wang4
气象 qi4xiang4
签订 qian1ding4
签 qian1
起码 qi3ma3
签名 qian1ming2
签证 qian1zheng4
签约 qian1yue1
签字 qian1zi4
前景 qian2jing3
气体 qi4ti3
欠 qian4
枪 qiang1
前提 qian2ti2
强度 qiang2du4
墙壁 qiang2bi4
抢救 qiang3jiu4
强迫 qiang3po4
悄悄 qiao1qiao1
抢 qiang3
瞧 qiao2
敲 qiao1
勤奋 qin2fen4
琴 qin2
青 qing1
敲门 qiao1men2
清理 qing1li3
清晨 qing1chen2
区域 qu1yu4
晴朗 qing2lang3
全都 quan2dou1
情节 qing2jie2
全世界 quan2shi4jie4
情形 qing2xing5
劝 quan4
泉 quan2
缺乏 que1fa2
确立 que4li4
群众 qun2zhong4
群体 qun2ti3
热量 re4liang4
染 ran3
热门 re4men2
人间 ren2jian1
人士 ren2shi4
人物 ren2wu4
忍 ren3
人力 ren2li4
忍不住 ren3bu5zhu4
绕 rao4
认 ren4
认定 ren4ding4
忍受 ren3shou4
扔 reng1
如此 ru2ci3
仍旧 reng2jiu4
入门 ru4men2
如同 ru2tong2
软件 ruan3jian4
如下 ru2xia4
软 ruan3
散 san4
洒 sa3
杀毒 sha1du2
杀 sha1
沙漠 sha1mo4
散文 san3wen2
山区 shan1qu1
傻 sha3
扇 shan4
扇子 shan4zi5
商标 shang1biao1
上级 shang4ji2
上下 shang4xia4
上涨 shang4zhang3
稍微 shao1wei1
蛇 she2
稍 shao1
舍不得 she3bu5de5
舍得 she3de5
设想 she4xiang3
社 she4
社区 she4qu1
射 she4
射击 she4ji1
摄像 she4xiang4
摄像机 she4xiang4ji1
摄影师 she4ying3shi1
伸 shen1
摄影 she4ying3
深度 shen1du4
神 shen2
神经 shen2jing1
深处 shen1chu4
神情 shen2qing2
生成 sheng1cheng2
升高 sheng1gao1
声 sheng1
神奇 shen2qi2
胜负 sheng4fu4
剩 sheng4
剩下 sheng4xia5
失误 shi1wu4
师傅 shi1fu5
诗歌 shi1ge1
时常 shi2chang2
十足 shi2zu2
时光 shi2guang1
时机 shi2ji1
时事 shi2shi4
实惠 shi2hui4
拾 she4
使得 shi3de5
示范 shi4fan4
式 shi4
势力 shi4li5
试图 shi4tu2
视频 shi4pin2
收购 shou1gou4
收集 shou1ji2
收拾 shou1shi5
手段 shou3duan4
寿司 shou4si1
手法 shou3fa3
受灾 shou4zai1
视为 shi4wei2
瘦 shou4
书法 shu1fa3
书桌 shu1zhuo1
输出 shu1chu1
书柜 shu1gui4
鼠 shu3
蔬菜 shu1cai4
鼠标 shu3biao1
熟悉 shu2xi5
摔倒 shuai1dao3
摔 shuai1
数目 shu4mu4
双手 shuang1shou3
水产品 shui3chan3pin3
率领 shuai4ling3
水分 shui3fen4
水库 shui3ku4
水灾 shui3zai1
说法 shuo1fa5
硕士 shuo4shi4
私人 si1ren2
睡眠 shui4mian2
搜 sou1
四周 si4zhou1
搜索 sou1suo3
宿舍 su4she4
酸甜苦辣 suan1tian2ku3la4
随意 sui2yi4
随后 sui2hou4
岁月 sui4yue4
思维 si1wei2
碎 sui4
随着 sui2zhe5
损害 sun3hai4
所在 suo3zai4
锁 suo3
损失 sun3shi1
台风 tai2feng1
抬头 tai2tou2
太空 tai4kong1
抬 tai2
弹 dan4
逃跑 tao2pao3
逃走 tao2zou3
逃 tao2
桃 tao2
桃树 tao2shu4
讨厌 tao3yan4
桃花 tao2hua1
特性 te4xing4
特有 te4you3
特定 te4ding4
提倡 ti2chang4
提起 ti2qi3
提示 ti2shi4
体积 ti3ji1
题材 ti2cai2
天才 tian1cai2
天然气 tian1ran2qi4
体力 ti3li4
天文 tian1wen2
厅 ting1
调解 tiao2jie3
通用 tong1yong4
偷 tou1
调节 tiao2jie2
停留 ting2liu2
偷偷 tou1tou1
土豆 tu3dou4
突破 tu1po4
吐 tu3
兔 tu4
团长 tuan2zhang3
推行 tui1xing2
脱离 tuo1li2
外界 wai4jie4
完了 wan2liao3
为难 wei2nan2
微博 wei1bo2
为期 wei2qi1
为止 wei2zhi3
违法 wei2fa3
违反 wei2fan3
围绕 wei2rao4
违规 wei2gui1
委托 wei3tuo1
唯一 wei2yi1
为主 wei2zhu3
卫星 wei4xing1
温和 wen1he2
胃 wei4
慰问 wei4wen4
握 wo4
文艺 wen2yi4
污水 wu1shui3
卧室 wo4shi4
无奈 wu2nai4
污染 wu1ran3
舞 wu3
无疑 wu2yi2
物价 wu4jia4
屋 wu1
物业 wu4ye4
物质 wu4zhi4
误解 wu4jie3
西红柿 xi1hong2shi4
喜剧 xi3ju4
西装 xi1zhuang1
戏 xi4
戏剧 xi4ju4
吓 xia4
先前 xian1qian2
鲜艳 xian1yan4
显 xian3
先后 xian1hou4
现有 xian4you3
现状 xian4zhuang4
献 xian4
闲 xian2
线索 xian4suo3
乡村 xiang1cun1
相等 xiang1deng3
香肠 xiang1chang2
详细 xiang2xi4
相应 xiang1ying5
乡 xiang1
向导 xiang4dao3
享受 xiang3shou4
向上 xiang4shang4
象征 xiang4zheng1
相声 xiang4sheng5
消毒 xiao1du2
消除 xiao1chu2
向前 xiang4qian2
消防 xiao1fang2
消费者 xiao1fei4zhe3
小偷儿 xiao3tou1
消极 xiao1ji2
歇 xie1
协议书 xie2yi4shu1
斜 xie2
心态 xin1tai4
心疼 xin1teng2
辛苦 xin1ku3
协议 xie2yi4
欣赏 xin1shang3
信箱 xin4xiang1
行驶 xing2shi3
信念 xin4nian4
形态 xing2tai4
性能 xing4neng2
雄伟 xiong2wei3
熊 xiong2
休闲 xiu1xian2
修复 xiu1fu4
修养 xiu1yang3
修建 xiu1jian4
虚心 xu1xin1
选修 xuan3xiu1
学科 xue2ke1
学位 xue2wei4
寻求 xun2qiu2
学者 xue2zhe3
许可 xu3ke3
押金 ya1jin1
询问 xun2wen4
延伸 yan2shen1
亚军 ya4jun1
鸭子 ya1zi5
严厉 yan2li4
严肃 yan2su4
言语 yan2yu5
研究所 yan2jiu1suo3
邀请 yao1qing3
眼光 yan3guang1
摇头 yao2tou2
也好 ye3hao3
咬 yao3
业务 ye4wu4
夜间 ye4jian5
依法 yi1fa3
一流 yi1liu2
依据 yi1ju4
依旧 yi1jiu4
一辈子 yi1bei4zi5
一带 yi1dai4
依照 yi1zhao4
一旦 yi1dan4
一句话 yi1ju4hua4
一下儿 yi1xia4
一下子 yi1xia4zi5
一路 yi1lu4
一向 yi1xiang4
乙 yi3
以便 yi3bian4
以往 yi3wang3
一口气 yi1kou3qi4
一身 yi1shen1
意识 yi4shi5
意味着 yi4wei4zhe5
意志 yi4zhi4
因而 yin1er2
饮料 yin3liao4
印刷 yin4shua1
饮食 yin3shi2
硬 ying4
硬件 ying4jian4
拥抱 yong1bao4
拥有 yong1you3
用不着 yong4bu5zhao2
用户 yong4hu4
应 ying1
用来 yong4lai2
优惠 you1hui4
优先 you1xian1
用于 yong4yu2
幽默 you1mo4
由此 you2ci3
尤其 you2qi2
犹豫 you2yu4
游泳池 you2yong3chi2
有毒 you3du2
有害 you3hai4
友谊 you3yi4
有力 you3li4
有利于 you3li4yu2
有着 you3zhe5
羽毛球 yu3mao2qiu2
预备 yu4bei4
羽绒服 yu3rong2fu2
雨水 yu3shui3
元旦 yuan2dan4
预期 yu4qi1
原理 yuan2li3
园林 yuan2lin2
原先 yuan2xian1
原始 yuan2shi3
怨 yuan4
原有 yuan2you3
远处 yuan3chu4
愿 yuan4
约束 yue1shu4
月饼 yue4bing5
阅览室 yue4lan3shi4
运行 yun4xing2
运 yun4
月球 yue4qiu2
灾 zai1
灾害 zai1hai4
再次 zai4ci4
灾区 zai1qu1
灾难 zai1nan4
在场 zai4chang3
在内 zai4nei4
暂时 zan4shi2
暂停 zan4ting2
再也 zai4ye3
糟 zao1
糟糕 zao1gao1
早期 zao3qi1
增 zeng1
增产 zeng1chan3
增大 zeng1da4
增多 zeng1duo1
增强 zeng1qiang2
摘 zhai1
赠 zeng4
展览 zhan3lan3
赠送 zeng4song4
占领 zhan4ling3
展现 zhan3xian4
展示 zhan3shi4
占有 zhan4you3
涨 zhang3
涨价 zhang3jia4
掌握 zhang3wo4
招生 zhao1sheng1
招手 zhao1shou3
珍贵 zhen1gui4
珍珠 zhen1zhu1
珍惜 zhen1xi1
真诚 zhen1cheng2
真相 zhen1xiang4
诊断 zhen3duan4
真理 zhen1li3
振动 zhen4dong4
震惊 zhen4jing1
争议 zheng1yi4
正版 zheng4ban3
正如 zheng4ru2
正规 zheng4gui1
证实 zheng4shi2
证书 zheng4shu1
正义 zheng4yi4
挣钱 zheng4qian2
之内 zhi1nei4
挣 zheng1
之外 zhi1wai4
之中 zhi1zhong1
之下 zhi1xia4
执行 zhi2xing2
支出 zhi1chu1
直线 zhi2xian4
支配 zhi1pei4
值班 zhi2ban1
职位 zhi2wei4
职能 zhi2neng2
只不过 zhi3bu5guo4
只见 zhi3jian4
指标 zhi3biao1
职务 zhi2wu4
指示 zhi3shi4
指甲 zhi3jia5
指责 zhi3ze2
制成 zhi4cheng2
至 zhi4
治安 zhi4an1
制约 zhi4yue1
中断 zhong1duan4
中秋节 zhong1qiu1jie2
治理 zhi4li3
中央 zhong1yang1
中药 zhong1yao4
终点 zhong1dian3
终身 zhong1shen1
终止 zhong1zhi3
中毒 zhong4du2
周期 zhou1qi1
众多 zhong4duo1
竹子 zhu2zi5
主办 zhu3ban4
主观 zhu3guan1
主体 zhu3ti3
主管 zhu3guan3
助理 zhu4li3
助手 zhu4shou3
主导 zhu3dao3
注视 zhu4shi4
注射 zhu4she4
