爱 ai4
动物 dong4wu4
动物园 dong4wu4yuan2
度 du4
读音 du2yin1
短 duan3
短信 duan3xin4
段 duan4
队 dui4
队长 dui4zhang3
懂 dong3
对话 dui4hua4
对面 dui4mian4
多 duo1
多久 duo1jiu3
对 dui4
多么 duo1me5
多数 duo1shu4
多云 duo1yun2
而且 er2qie3
发 fa1
发现 fa1xian4
饭馆 fan4guan3
方便 fang1bian4
方便面 fang1bian4mian4
方法 fang1fa3
方面 fang1mian4
放下 fang4xia4
方向 fang1xiang5
分 fen1
分开 fen1kai1
分数 fen1shu4
放心 fang4xin1
分钟 fen1zhong1
服务 fu2wu4
复习 fu4xi2
份 fen4
封 feng1
改 gai3
改变 gai3bian4
该 gai1
感到 gan3dao4
感动 gan3dong4
干杯 gan1bei1
感觉 gan3jue2
干活儿 gan4huo2
刚 gang1
刚才 gang1cai2
刚刚 gang1gang1
高级 gao1ji2
感谢 gan3xie4
高中 gao1zhong1
个子 ge4zi5
更 geng4
公共汽车 gong1gong4qi4che1
公交车 gong1jiao1che1
公斤 gong1jin1
公路 gong1lu4
公平 gong1ping2
公里 gong1li3
公园 gong1yuan2
公司 gong1si1
故事 gu4shi5
狗 gou3
够 gou4
故意 gu4yi4
顾客 gu4ke4
关机 guan1ji1
关心 guan1xin1
观点 guan1dian3
广场 guang3chang3
广告 guang3gao4
过来 guo4lai5
过年 guo4nian5
国际 guo2ji4
过去 guo4qu5
海 hai3
过 guo4
海边 hai3bian1
好 hao3
喊 han3
好多 hao3duo1
好处 hao3chu5
好久 hao3jiu3
好人 hao3ren2
好事 hao3shi4
好像 hao3xiang4
合适 he2shi4
黑 hei1
河 he2
黑板 hei1ban3
红 hong2
黑色 hei1se4
红色 hong2se4
忽然 hu1ran2
后来 hou4lai2
护照 hu4zhao4
花 hua1
花园 hua1yuan2
湖 hu2
画 hua4
画儿 hua4
画家 hua4jia1
坏人 huai4ren2
坏处 huai4chu5
欢迎 huan1ying2
黄 huang2
换 huan4
黄色 huang2se4
回 hui2
回国 hui2guo2
会 hui4
活动 huo2dong5
或 huo4
或者 huo4zhe3
鸡 ji1
机会 ji1hui5
级 ji2
急 ji2
计划 ji4hua4
计算机 ji4suan4ji1
加 jia1
加油 jia1you2
家 jia1
家庭 jia1ting2
家长 jia1zhang3
假 jia3
假期 jia4qi1
检查 jian3cha2
件 jian4
见过 jian4guo4
讲 jiang3
见到 jian4dao4
健康 jian4kang1
讲话 jiang3hua4
交 jiao1
交给 jiao1gei3
交朋友 jiao1peng2you5
交通 jiao1tong1
角 jiao3
角度 jiao3du4
饺子 jiao3zi5
叫作 jiao4zuo4
教师 jiao4shi1
脚 jiao3
教学 jiao1xue2
教育 jiao4yu4
教室 jiao4shi4
接到 jie1dao4
接受 jie1shou4
接下来 jie1xia4lai2
接着 jie1zhe5
街 jie1
节 jie2
节目 jie2mu4
节日 jie2ri4
结果 jie1guo3
斤 jin1
接 jie1
借 jie4
进入 jin4ru4
今后 jin1hou4
进行 jin4xing2
经常 jing1chang2
经过 jing1guo4
近 jin4
经理 jing1li3
酒店 jiu3dian4
就要 jiu4yao4
酒 jiu3
举手 ju3shou3
举行 ju3xing2
举 ju3
句子 ju4zi5
卡 ka3
开机 kai1ji1
句 ju4
看法 kan4fa5
开心 kai1xin1
考生 kao3sheng1
靠 kao4
开学 kai1xue2
科 ke1
科学 ke1xue2
可爱 ke3ai4
可怕 ke3pa4
可是 ke3shi4
可能 ke3neng2
克 ke4
可以 ke3yi3
刻 ke4
课堂 ke4tang2
空气 kong1qi4
快餐 kuai4can1
快点儿 kuai4dian3
客人 ke4ren5
快乐 kuai4le4
快要 kuai4yao4
哭 ku1
筷子 kuai4zi5
来自 lai2zi4
拉 la1
蓝 lan2
蓝色 lan2se4
篮球 lan2qiu2
老年 lao3nian2
老朋友 lao3peng2you5
离 li2
老 lao3
老是 lao3shi5
离开 li2kai1
里头 li3tou5
理想 li3xiang3
礼物 li3wu4
例如 li4ru2
例子 li4zi5
脸 lian3
练习 lian4xi2
练 lian4
凉 liang2
凉快 liang2kuai5
辆 liang4
亮 liang4
零下 ling2xia4
两 liang3
留下 liu2xia4
留 liu2
留学生 liu2xue2sheng1
流利 liu2li4
流 liu2
流行 liu2xing2
旅客 lü3ke4
旅行 lü3xing2
绿 lü4
绿色 lü4se4
路边 lu4bian1
卖 mai4
旅游 lü3you2
满意 man3yi4
猫 mao1
米 mi3
面 mian4
面前 mian4qian2
名称 ming2cheng1
名 ming2
名单 ming2dan1
满 man3
目的 mu4di4
拿到 na2dao4
拿出 na2chu1
那 na4
那会儿 na4hui4
那么 na4me5
那时候 na4shi2hou5
