a1 啊阿锕吖
fan3 反返
fan4 犯饭范贩泛梵畈
fang1 方芳坊钫枋邡牥蚄
fang2 房防妨肪鲂
fang3 访仿纺昉舫
fang4 放
fei1 非飞啡菲扉妃绯蜚鲱霏𬴂
fei2 肥腓淝
fei3 匪斐诽翡悱榧朏棐篚
fei4 费废肺沸吠狒痱镄芾剕
fen1 分芬氛纷吩酚棻翂
fen2 坟焚汾棼鼢𣸣豮
fen3 粉
fen4 份奋愤粪忿偾鲼坋瀵
feng1 疯风封蜂丰锋峰枫烽砜沣沨葑酆崶
feng2 逢冯浲夆
feng3 讽唪
feng4 缝奉凤俸赗
fo2 佛
fou3 否缶
fu1 夫肤敷孵麸呋跗趺稃玞砆𫓧鄜尃
fu2 服福弗符伏幅浮芙扶俘蝠辐袱拂氟匐孚蜉凫苻茀怫绂茯罘郛祓莩蚨菔桴涪幞黻芣绋韨洑垺琈榑
fu3 府抚腐辅斧俯甫脯釜腑拊滏黼㕮𫖯簠
fu4 父复付负附富妇副赋腹覆赴傅咐缚讣馥蝮阜驸鲋赙㳇
ga1 咖伽嘎戛旮
ga2 噶钆尜
ga3 尕
ga4 尬
gai1 该赅陔垓荄晐
gai3 改
gai4 概盖丐钙溉𬮿戤
gan1 干杆尴甘肝竿柑泔坩酐疳苷玕矸虷
gan3 感敢赶橄擀秆澉鳡
gan4 绀赣旰淦㽏
gang1 刚钢缸冈肛扛纲罡冮㭎矼堽
gang3 港岗
gang4 杠戆鿍筻
gao1 高糕膏睾羔皋篙槔
gao3 搞稿镐藁槁杲缟
gao4 告锆诰郜筶
ge1 哥歌戈割咯胳鸽搁疙圪仡饹袼
ge2 格隔阁革葛蛤嗝骼膈镉鬲塥滆
ge3 舸哿
ge4 个各铬硌虼
gei3 给
gen1 跟根
gen2 哏
gen3 艮
gen4 亘茛
geng1 更耕羹庚赓浭鹒
geng3 耿梗哽埂鲠绠𬒔
geng4 暅
gong1 工公功供攻恭宫弓躬肱蚣觥龚䢼
gong3 拱汞巩廾珙硔
gong4 共贡
gou1 勾沟钩篝枸佝缑鞲亅
gou3 狗苟岣耇笱
gou4 够构购垢媾诟彀觏姤遘雊冓
gu1 姑孤估辜咕菇呱箍沽轱菰鸪蛄酤觚蓇
gu3 古股骨鼓谷贾蛊钴汩榖鹄诂牯罟毂鹘臌瞽𦙶羖馉嘏瀔
gu4 故顾雇固锢梏崮痼鲴堌牿
gua1 瓜刮胍栝鸹
gua3 寡剐
gua4 挂卦褂诖坬
guai1 乖掴
guai3 拐
guai4 怪夬
guan1 关官观冠棺鳏倌纶蒄
guan3 管馆莞琯筦鳤
guan4 惯罐灌贯盥鹳祼掼涫瓘毌爟卝雚
guang1 光胱咣垙洸珖桄𨐈
guang3 广犷
guang4 逛
gui1 规归瑰龟圭鲑闺硅皈妫邽珪鬶巂
gui3 鬼轨诡晷癸庋匦簋宄姽
gui4 贵柜跪桂刽桧炅刿鳜筀
gun3 滚辊衮绲磙鲧丨
gun4 棍
guo1 锅郭聒埚蝈呙崞
guo2 国帼腘虢𬇹馘
guo3 果裹椁馃粿蜾
guo4 过
ha1 哈铪
hai1 嗨咍
hai2 孩骸
hai3 海醢胲
hai4 害亥骇氦嗐
han1 鼾酣憨蚶顸
han2 含韩寒函涵邯邗晗焓浛琀崡嵅
han3 喊罕蔊㘎
han4 汉翰憾汗撼悍焊捍旱瀚菡颔扞垾撖暵
hang1 夯
hang2 航杭绗颃
hang4 沆
hao1 蒿薅嚆
hao2 毫豪嚎壕蚝貉嗥濠
hao3 好郝
hao4 号耗浩昊皓颢灏淏鄗皞
he1 喝呵嗬诃
he2 和何合河核盒荷劾阂颌涸菏禾阖纥曷饸盍盉翮鞨郃𬌗龁鹖龢
he4 贺赫褐鹤壑垎隺熇翯
hei1 嘿黑𬭶
hen2 痕
hen3 很狠𬣳
hen4 恨
heng1 亨哼
heng2 横衡恒桁鸻姮珩蘅
heng4 堼
hong1 轰哄烘訇吽薨
hong2 红洪虹弘宏鸿泓闳竑蕻玒纮荭翃𫟹𬭎谼黉
hong3 唝
hong4 讧
hou1 齁
hou2 猴喉侯瘊骺篌𬭤糇
hou3 吼
hou4 后候厚逅鲎郈垕堠鲘
hu1 乎呼忽惚烀唿滹昒轷淴虍虖
hu2 胡糊湖狐蝴壶弧瑚葫槲鹕醐囫猢斛煳縠觳
hu3 虎唬琥浒
hu4 护户互扈沪瓠怙笏戽祜冱昈岵鄠嫭鹱鳠
hua1 花哗砉
hua2 华滑猾骅铧
hua4 话划化画桦婳觟
huai2 怀踝徊槐淮
huai4 坏
huan1 欢獾
huan2 还环寰桓郇缳锾镮洹萑圜鹮鬟荁峘𬘫貆澴𤩽
huan3 缓㬊
huan4 换幻患唤焕痪浣奂涣豢宦漶鲩逭擐
huang1 荒慌肓巟
huang2 黄皇凰煌惶簧潢徨蝗璜蟥鳇隍遑湟篁喤媓瑝锽艎𨱑癀
huang3 谎幌恍
huang4 晃㿠滉
hui1 挥恢灰徽辉诙麾晖咴翚隳㧑袆
hui2 回茴蛔洄烠
hui3 毁悔虺
hui4 会汇惠慧贿绘秽彗讳烩晦诲喙卉荟哕浍恚蕙蟪硊翙𬤝橞𬭬
hun1 婚昏荤阍惛碈
hun2 魂浑馄珲
hun4 混诨溷圂
huo1 嚄耠攉𬴃锪劐
huo2 活佸
huo3 伙火夥钬漷灬
huo4 或获货霍惑祸豁嚯藿镬蠖濩㸌
ji1 机击基激鸡圾矶积肌姬缉饥稽叽唧羁畸玑讥屐跻畿犄箕齑芨乩剞笄赍嵇墼枅𬯀𫓯𫓹𫌀觭
ji2 集极及级吉即急辑疾嫉棘籍藉岌汲亟瘠笈嵴佶殛戢蒺楫蕺伋姞堲㴔耤鹡蹐
ji3 己几挤脊戟麂虮掎鱾
ji4 记计继际纪季迹技既剂寄济妓忌绩寂祭伎觊悸蓟冀暨髻骥荠鲫稷洎偈霁鲚罽芰垍𪟝徛惎跽漈穄𬶨𬶭瀱彐旡
jia1 家加佳夹嘉迦珈枷浃痂镓袈笳葭跏泇𬂩
jia2 颊荚铗郏蛱恝
jia3 假甲钾胛岬斝槚瘕
jia4 价架驾嫁稼
jian1 间监坚尖奸肩艰煎兼缄歼笺菅鲣搛犍湔蒹缣鞬鞯戋鹣篯鳒
jian3 简检减剪捡拣柬碱茧锏俭睑裥枧笕戬蹇謇趼暕谫翦
jian4 见件建健键贱剑舰鉴箭渐荐溅践腱槛饯僭毽涧谏牮踺𬣡楗
