zai3xiang4 宰相
zai3sha1 宰杀
tu2zai3 屠宰
xun2zhe5 循着
bian4qian1 变迁
qian1yi2 迁移
shu4qi3 竖起
heng2shu5 横竖
shu4qin2 竖琴
zheng1kai1 睁开
zheng1yan3 睁眼
mou2 谋
mou2sha1 谋杀
mou2sheng1 谋生
can1mou2 参谋
xian1qi3 掀起
xian1kai1 掀开
xian1fan1 掀翻
yu4shi4 浴室
mu4yu4 沐浴
yu4gang1 浴缸
lin2yu4 淋浴
qian1shu3 签署
bu4shu3 部署
shu3ming2 署名
you1jiu3 悠久
zhuan4you5 转悠
sou4 嗽
ji4dian4 祭奠
ji4tan2 祭坛
ji4si1 祭司
ji4zu3 祭祖
zhai4 寨
da4zhai4 大寨
cun1zhai4 村寨
shan1zhai4 山寨
meng2long2 朦胧
shi2mao2 时髦
gun4 棍
gun4zi5 棍子
guang1gun4 光棍
bing1gun4 冰棍
mu4gun4 木棍
yi3kao4 倚靠
di4tan3 地毯
tan3zi5 毯子
mao2tan3 毛毯
beng4 蹦
beng4tiao4 蹦跳
mang2mu4 盲目
mang2ren2 盲人
wen2mang2 文盲
mang2liu2 盲流
che1huo4 车祸
da4huo4 大祸
zai1huo4 灾祸
re3huo4 惹祸
xuan2zhuan3 旋转
pan2xuan2 盘旋
xuan4feng1 旋风
zhou1xuan2 周旋
zheng1fa1 蒸发
qing1zheng1 清蒸
jun4 郡
jia1pu3 家谱
li2pu3 离谱
shi2pu3 食谱
cai4pu3 菜谱
zhong3liu2 肿瘤
fu2zhong3 浮肿
hong2zhong3 红肿
yong1zhong3 臃肿
he4 鹤
zhi3he4 纸鹤
xian1he4 仙鹤
la4zhu2 蜡烛
la4bi3 蜡笔
la4ran3 蜡染
zhu2guang1 烛光
zhu2tai2 烛台
zhu2huo3 烛火
guan1yu3 关羽
yu3yi4 羽翼
yu3rong2 羽绒
xiao1hao4 消耗
hao4zi5 耗子
hao4fei4 耗费
you2hao4 油耗
la3 喇
la3ba5 喇叭
kou3qiang1 口腔
qiang1diao4 腔调
chang4qiang1 唱腔
man3qiang1 满腔
gui4jian4 贵贱
xia4jian4 下贱
bei1jian4 卑贱
pin2jian4 贫贱
yi1guan4 一贯
guan4chuan1 贯穿
lian2guan4 连贯
bao4chou2 报仇
fu4chou2 复仇
chou2ren2 仇人
bu4lü3 步履
lü3li4 履历
lü3yue1 履约
qi3e2 企鹅
