鄑 zi1
蒎 pai4
葖 tu1
蒄 guan1
萹 bian1
棤 cuo4
棽 chen1
棫 yu4
椓 zhuo2
椑 bei1
𬃊 zhi4
鹀 wu2
椆 chou2
棓 bei4
棬 quan1
棪 yan3
椀 wan3
楗 jian4
𬷕 bu3
甦 su1
酦 po1
觌 di2
奡 ao4
皕 bi4
硪 wo4
欹 qi1
詟 zhe2
𫐐 ni2
辌 liang2
棐 fei3
龂 yin2
𬹼 xie4
黹 zhi3
牚 cheng4
睎 xi1
晫 zhuo2
晪 tian3
晱 shan3
𧿹 mu3
蛑 mou2
畯 jun4
斝 jia3
喤 huang2
崶 feng1
嵁 kan1
𫶇 die2
崾 yao4
嵅 han2
崿 e4
嵚 qin1
翙 hui4
𫖮 yi3
圌 chui2
圐 ku1
赑 bi4
淼 miao3
赒 zhou1
鿏 mai4
铹 lao2
𬭊 du4
铽 te4
𨱇 qiu2
𫓶 xuan1
锊 lüe4
𬭎 hong2
锓 qin3
犇 ben1
颋 ting3
稌 tu2
筀 gui4
筜 dang1
筥 ju3
筅 xian3
傃 su4
傉 nu4
翛 xiao1
傒 xi1
傕 jue2
舾 xi1
畬 yu2
𫖯 fu3
脿 biao3
䐃 jun4
腙 zong1
腒 ju1
𬱟 wei3
鲃 ba1
猰 ya4
𫛭 kuang2
猯 tuan1
㺄 yu3
馉 gu3
凓 li4
鄗 hao4
𫷷 xin1
廆 wei3
鄌 tang2
粢 zi1
遆 ti2
旐 zhao4
𬮱 yin1
焞 tun1
𬊤 chan3
欻 xu1
𣸣 fen2
溚 da2
溁 ying2
湝 jie1
渰 yan3
湓 pen2
㴔 ji2
渟 ting2
溠 zha4
溇 lou2
湣 min3
湑 xu4
溞 sao1
愃 xuan1
敩 xiao4
甯 ning4
棨 qi3
扊 yan3
裣 lian3
婻 nan4
媆 ruan3
㛹 pian2
媓 huang2
媂 di4
媄 mei3
毵 san1
矞 yu4
𬴃 huo1
𫘨 ti2
缊 yun4
缐 xian4
骙 kui2
