"dance (performance art); dancing" 舞蹈
"dance; ball; party" 舞会
"trend; tendency" 趋势
"power; influence; a force (military, political etc)" 势力
bag 袋子
"sack; burlap bag" 麻袋
"sleeping bag" 睡袋
"commerce; trade" 贸
"foreign trade" 外贸
trade 经贸
"world trade organization (wto)" 世贸
"cook; chef" 厨师
cook 厨子
"to go to the kitchen (to prepare a meal); to cook" 下厨
"temple; monastery; shrine" 寺庙
"cloister; temple; monastery" 寺院
tiger 虎
tiger 老虎
"careless; sloppy; negligent; skimpy" 马虎
"tiger cub; brave young man" 虎子
"fierce tiger" 猛虎
"(bound form) house; (bound form) room" 屋
"house; room" 屋子
"house; building" 房屋
"cabin; lodge; cottage; chalet; hut; shed" 小屋
"warehouse; storehouse; (file) library" 库
"depot; storehouse; warehouse" 仓库
reservoir 水库
"property or cash held in reserve; stock" 库存
"a store room for books; fig. an erudite person; the bibliotheca and epitome of pseudo-apollodorus" 书库
"ripe; mature; thoroughly cooked; done; familiar; acquainted; experienced; skilled; (of sleep etc) deep; profound" 熟
"mature; ripe; to mature; to ripen" 成熟
"acquaintance; friend" 熟人
"asleep; sleeping soundly" 熟睡
"senior; of a senior generation; to honor; to respect; honorific; classifier for cannons and statues" 尊
"to esteem; to respect; to honor; to value; eminent; serious; proper" 尊重
"to respect; to revere; to esteem; honorable; distinguished (used on formal occasions before a term of address)" 尊敬
"dignity; sanctity; honor; majesty" 尊严
"self-respect; self-esteem; ego; pride" 自尊
"luoyang prefecture-level city in henan, an old capital from pre-han times" 洛阳
"lausanne (city in switzerland)" 洛桑
"lord (name)" 洛德
"marlow (name)" 马洛
"practice; to put into practice; to live up to (a promise); to carry out (a project)" 实践
"to trample" 践踏
"to ill-use; to humiliate; to degrade; to ruin" 作践
"slightly-built; petite" 瘦小
"thin and weak" 瘦弱
slim 瘦削
"health; hygiene; sanitation" 卫生
"to defend; to safeguard" 保卫
"david (name)" 大卫
"poem for singing; tune; music" 曲子
"curve; curved line; indirect; in a roundabout way" 曲线
"to twist; to warp; to distort" 扭曲
"autumn; fall; harvest time" 秋
autumn 秋天
"the mid-autumn festival, the traditional moon-viewing festival on the 15th of the 8th lunar month" 中秋
"autumn; fall" 秋季
"to carry on a shoulder pole; to choose; to pick; to nitpick" 挑
"picky; fussy" 挑剔
"to provoke; to stir up; to incite" 挑起
"sunny and cloudless" 晴朗
"clear sky; sunny day" 晴天
"(of weather) to clear up" 放晴
"bright and sunny weather" 晴好
"taciturn; uncommunicative; silent" 沉默
"heavy; hard; serious; critical" 沉重
"to contemplate; to ponder; contemplation; meditation" 沉思
"to soak; to permeate; to immerse" 沉浸
"in silence; not speaking" 默默
humorous 幽默
"tacit understanding; mutual understanding; rapport; connected at a deep level with each other; (of team members) well coordinated; tight" 默契
"each other; one another" 彼此
"peter (name)" 彼得
"the other shore" 彼岸
"at that time" 彼时
"to rub; to scratch; to towel; to wipe with a towel; to apply (lipstick, lotion etc); to touch; to brush (past); to shred (vegetables etc)" 擦
"friction; rubbing; chafing; fig. disharmony; conflict" 摩擦
"to wipe clean" 擦拭
"to wipe dry" 擦干
"to wipe" 擦掉
