liu4shi2 六十
liu4si4 六四
zhou1liu4 周六
can1 参
can1jia1 参加
can1guan1 参观
zeng1jia1 增加
jia1ru4 加入
bang1 帮
bang1zhu4 帮助
bang1mang2 帮忙
hei1bang1 黑帮
bang1pai4 帮派
song4 送
zeng4song4 赠送
song4li3 送礼
chuan2song4 传送
li4 历
li4shi3 历史
jing1li4 经历
xue2li4 学历
jian3li4 简历
shi3liao4 史料
shi3xue2 史学
wen2shi3 文史
lian3 脸
lian3se4 脸色
man3lian3 满脸
xiao4lian3 笑脸
lian3hong2 脸红
zhong1shen1 终身
fu4ci2 副词
fu4ben3 副本
fu4kan1 副刊
fu4guan1 副官
he1 喝
he1jiu3 喝酒
he1cha2 喝茶
he1zui4 喝醉
yao1he5 吆喝
ji4shu4 技术
ke1ji4 科技
ji4qiao3 技巧
ji4neng2 技能
shu4 术
yi4shu4 艺术
xue2shu4 学术
shou3shu4 手术
kou3 口
chu1kou3 出口
ren2kou3 人口
chuang1kou3 窗口
ji4xu4 继续
ji4cheng2 继承
xiang1ji4 相继
ji4er2 继而
xu4 续
chi2xu4 持续
shou3xu4 手续
yin1xiang3 音响
sheng1xiang3 声响
fu2 服
fu2wu4 服务
yi1fu5 衣服
shu1fu5 舒服
fu2zhuang1 服装
wu4 务
ye4wu4 业务
shang1wu4 商务
jie3jue2 解决
jue2bu4 决不
jian1jue2 坚决
xing2shi4 形式
mo2shi4 模式
jie3 解
jie3shi4 解释
ming4ling4 命令
xia4ling4 下令
zhi3ling4 指令
si1ling4 司令
xian3shi4 显示
ti2shi4 提示
gu4 故
gu4yi4 故意
shi4gu4 事故
yuan2gu4 缘故
xin4 信
xin4xi1 信息
xiang1xin4 相信
duan3xin4 短信
xin4xin1 信心
xiao1xi5 消息
xiu1xi5 休息
qi4xi1 气息
gan4 干
gan4bu4 干部
gan1jing4 干净
gan1cui4 干脆
yue4lai2yue4 越来越
yue4nan2 越南
chao1yue4 超越
chuan1yue4 穿越
zao3 早
zao3shang5 早上
zao3can1 早餐
yuan2lai2 原来
yuan2chuang4 原创
hong2 红
hong2se4 红色
hong2qi2 红旗
tong1hong2 通红
ti2gong1 提供
ti2xing3 提醒
gong1ying4 供应
gong1ji3 供给
gong1yang3 供养
shi2ji4 实际
zhi1ji4 之际
jiao1ji4 交际
fa3 法
ban4fa3 办法
fa3guo2 法国
zhuan1 专
zhuan1jia1 专家
zhuan1ji2 专辑
wen2dao4 闻到
wen2ming2 闻名
chuan2wen2 传闻
liu2yan2 留言
er2yan2 而言
fa1yan2 发言
shou4 受
jie1shou4 接受
shou4dao4 受到
xiang3shou4 享受
pian1 篇
chang2pian1 长篇
pian1fu5 篇幅
pian1zhang1 篇章
shi1pian1 诗篇
bian1 边
yi1bian1 一边
shen1bian1 身边
pang2bian1 旁边
na4bian5 那边
bao1 包
bao1kuo4 包括
mian4bao1 面包
bao1zhuang1 包装
bao1han2 包含
kuo4 括
gai4kuo4 概括
kuo4hao4 括号
nang2kuo4 囊括
mu4 目
xiang4mu4 项目
mu4biao1 目标
li2 离
ju4li2 距离
li2hun1 离婚
li2qu4 离去
la5 啦
hua1la1 哗啦
jie4shao4 介绍
jian3jie4 简介
zhong1jie4 中介
jie4ru4 介入
shao4 绍
shao4xing1 绍兴
na3 哪
na3ge5 哪个
na3xie1 哪些
na3pa4 哪怕
na3zhi1 哪知
zhi1shi5 知识
xiang1shi2 相识
jian4shi5 见识
ba4 爸
ba4ba5 爸爸
lao3ba4 老爸
a1ba4 阿爸
